onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	1	0.87171
14	3	gamma1	0	0	1.1758
18	3	beta2	0	1	0.63231
22	3	alpha1	0	1	0.81608
26	3	gamma5	0	1	0.84816
32	3	beta5	0	1	0.80808
38	3	gamma2	0	1	0.87218
44	3	alpha3	0	1	0.86363
50	3	beta4	0	1	0.78433
54	3	beta3	0	1	1.0007
58	3	alpha2	0	1	1.0168
66	3	alpha4	0	1	0.86435
70	3	alpha5	0	1	1.5204
78	3	beta1	0	1	0.76113
86	3	gamma3	0	1	1.145
90	3	gamma1	0	1	1.537
98	3	gamma2	0	1	1.0571
104	3	beta2	0	1	1.1124
108	3	beta1	0	1	0.80921
116	3	alpha5	0	1	0.96905
120	3	alpha1	0	1	1.2492
124	3	gamma3	0	1	1.3296
128	3	alpha4	0	1	0.91363
134	3	alpha4	1	0	1.5292
142	3	beta4	0	1	0.93715
148	3	alpha3	0	1	0.97671
154	3	gamma4	0	1	1.1536
162	3	beta5	0	1	1.2334
166	3	alpha2	0	1	0.82611
170	3	gamma5	0	1	1.306
176	3	beta3	0	1	1.1216
180	3	beta4	0	1	1.2497
186	3	beta4	1	1	1.6887
192	3	gamma3	0	1	1.0891
198	3	beta1	0	1	1.0726
202	3	alpha1	0	1	0.96214
208	3	gamma1	0	1	1.7135
212	3	alpha4	0	1	0.86654
220	3	gamma4	0	1	0.88104
226	3	beta3	0	1	1.169
230	3	alpha3	0	1	1.0029
238	3	gamma2	0	1	1.0651
244	3	gamma5	0	1	1.3529
248	3	alpha5	0	1	0.92321
254	3	alpha2	0	1	1.1044
258	3	beta2	0	1	0.97091
264	3	beta2	1	1	1.5135
272	3	beta5	0	1	0.68782
276	3	gamma5	0	1	1.0274
284	3	beta1	0	1	0.83985
290	3	beta1	1	1	2.0078
298	3	beta4	0	1	1.6567
302	3	alpha2	0	1	1.441
306	3	alpha4	0	1	0.92397
312	3	gamma4	0	1	0.81734
318	3	gamma1	0	1	2.0007
324	3	alpha5	0	1	1.5531
328	3	beta3	0	1	0.96031
334	3	alpha3	0	1	1.1997
340	3	gamma3	0	1	1.1453
344	3	beta2	0	1	1.4045
350	3	beta5	0	1	1.3291
358	3	alpha1	0	1	0.77597
366	3	gamma2	0	1	0.89593
