onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	1	0.97716
16	3	gamma4	0	1	0.95362
20	3	beta1	0	1	0.86563
24	3	gamma5	0	1	1.8337
30	3	alpha5	0	1	1.1371
36	3	alpha2	0	1	1.2341
44	3	alpha4	0	1	1.5621
50	3	alpha4	1	1	1.3376
54	3	gamma3	0	1	0.87389
58	3	gamma1	0	1	1.2341
62	3	beta3	0	1	1.1539
68	3	beta5	0	1	1.0743
74	3	alpha3	0	1	0.83425
78	3	beta4	0	1	1.5146
84	3	alpha1	0	1	1.2823
88	3	alpha1	1	0	1.5701
94	3	gamma2	0	1	0.84237
100	3	gamma4	0	1	1.1538
108	3	gamma3	0	1	0.95487
116	3	gamma5	0	1	1.5384
122	3	beta4	0	1	1.0985
128	3	beta3	0	1	1.5547
132	3	alpha4	0	1	1.2833
136	3	gamma2	0	1	1.1632
140	3	alpha3	0	1	1.6186
146	3	beta5	0	1	1.6108
154	3	gamma1	0	1	1.3149
160	3	beta2	0	1	1.1949
166	3	alpha2	0	1	1.4586
172	3	alpha5	0	1	1.483
178	3	beta1	0	1	1.4585
184	3	alpha1	0	1	1.2752
188	3	beta4	0	1	1.0351
196	3	gamma1	0	1	1.4273
200	3	alpha4	0	1	1.2351
204	3	beta5	0	1	1.179
212	3	alpha3	0	1	0.99573
216	3	alpha2	0	1	1.8914
220	3	alpha5	0	1	1.6033
228	3	gamma4	0	1	1.0353
234	3	beta3	0	1	1.5638
238	3	gamma3	0	1	1.8114
242	3	gamma3	1	1	1.6194
246	3	gamma2	0	1	0.82788
250	3	beta2	0	1	2.7799
258	3	gamma5	0	1	1.3641
266	3	alpha1	0	1	1.196
274	3	beta1	0	1	0.94788
280	3	gamma5	0	1	0.98
286	3	gamma1	0	1	1.6842
290	3	gamma3	0	1	1.1498
296	3	gamma2	0	1	1.5006
300	3	beta3	0	1	0.76424
308	3	alpha2	0	1	1.3086
316	3	alpha5	0	1	0.88471
324	3	gamma4	0	1	0.9329
328	3	beta1	0	1	1.0526
334	3	beta1	1	0	1.2612
338	3	alpha3	0	1	1.1566
342	3	beta2	0	1	1.733
350	3	beta4	0	1	1.3889
356	3	beta5	0	1	1.5502
362	3	alpha4	0	1	1.3815
368	3	alpha1	0	1	1.1337
