onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma5	0	1	1.2419
14	3	gamma5	1	1	1.834
20	3	gamma4	0	1	1.4181
28	3	gamma1	0	0	1.8983
32	3	gamma3	0	1	1.6987
36	3	beta1	0	1	0.95474
40	3	beta5	0	1	1.3947
48	3	alpha4	0	1	1.347
54	3	beta2	0	1	1.2987
58	3	beta4	0	1	0.89873
64	3	alpha5	0	1	1.0429
68	3	beta3	0	1	0.89064
72	3	gamma2	0	1	1.1787
80	3	alpha2	0	1	0.83519
88	3	alpha3	0	1	1.4355
92	3	alpha1	0	1	1.2039
98	3	gamma3	0	1	2.5954
102	3	gamma4	0	1	1.7316
110	3	beta1	0	1	1.1797
114	3	beta4	0	1	1.2673
118	3	gamma2	0	1	1.5557
126	3	beta5	0	1	1.38
130	3	beta5	1	1	1.6841
136	3	alpha1	0	1	1.6119
142	3	gamma1	0	1	1.5321
146	3	alpha5	0	1	1.0041
150	3	alpha4	0	1	1.2839
158	3	alpha4	1	0	1.7081
164	3	alpha2	0	1	2.1401
168	3	alpha2	1	1	1.6525
176	3	gamma5	0	1	1.0687
182	3	alpha3	0	1	0.98826
188	3	beta3	0	1	0.97275
192	3	beta2	0	1	1.3648
198	3	alpha2	0	1	2.0758
204	3	beta2	0	1	1.7889
212	3	alpha3	0	1	1.0285
218	3	gamma4	0	1	0.93263
226	3	beta5	0	1	1.565
232	3	alpha1	0	1	1.0452
236	3	gamma1	0	n/a	n/a
240	3	beta4	0	1	2.1329
244	3	beta3	0	0	1.6291
248	3	alpha4	0	1	1.6536
254	3	beta1	0	1	1.0856
260	3	gamma5	0	1	1.2055
266	3	gamma3	0	1	1.2455
272	3	gamma2	0	1	1.2936
278	3	alpha5	0	1	1.2133
284	3	alpha2	0	1	1.534
290	3	beta5	0	1	0.95795
296	3	gamma3	0	1	0.79777
300	3	gamma5	0	1	1.6617
304	3	beta1	0	1	2.5104
310	3	gamma4	0	1	1.3104
314	3	alpha4	0	1	1.2144
318	3	beta4	0	1	1.6139
326	3	alpha3	0	1	1.2702
334	3	beta3	0	1	1.1181
340	3	alpha5	0	1	0.98667
346	3	alpha1	0	0	1.7984
354	3	gamma1	0	1	2.2228
358	3	beta2	0	1	2.2624
366	3	gamma2	0	1	1.5185
