onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	n/a	n/a
14	3	gamma2	0	1	0.71732
22	3	alpha1	0	1	0.66933
28	3	alpha1	1	1	0.71749
32	3	beta2	0	1	0.68521
38	3	alpha4	0	1	0.84451
42	3	gamma1	0	1	0.66963
48	3	beta4	0	1	0.6772
52	3	gamma5	0	1	0.73343
60	3	beta3	0	1	0.91802
66	3	beta1	0	1	0.92595
72	3	beta5	0	1	1.0781
78	3	gamma4	0	1	0.60628
86	3	alpha5	0	1	0.70203
92	3	gamma3	0	1	0.678
96	3	alpha3	0	1	0.97432
102	3	alpha1	0	1	0.614
106	3	gamma3	0	1	0.83045
114	3	beta4	0	1	0.56691
122	3	gamma1	0	1	0.5986
130	3	alpha2	0	1	0.85434
134	3	alpha4	0	1	0.63852
140	3	alpha4	1	1	1.0062
144	3	beta1	0	1	0.96715
148	3	alpha3	0	1	1.0147
154	3	alpha5	0	1	0.89508
158	3	alpha5	1	1	0.95912
162	3	beta5	0	1	0.71934
168	3	beta2	0	1	0.84706
174	3	gamma4	0	1	0.67105
178	3	gamma2	0	1	0.71127
182	3	gamma5	0	1	0.95098
186	3	beta3	0	1	0.69567
192	3	alpha4	0	1	0.64751
198	3	gamma4	0	1	0.63155
206	3	gamma1	0	1	0.68757
210	3	alpha5	0	1	0.71186
216	3	beta4	0	1	0.7596
220	3	alpha1	0	1	0.78366
226	3	beta2	0	1	0.56758
234	3	beta3	0	1	0.8957
240	3	beta3	1	1	0.84817
244	3	gamma3	0	1	0.60844
248	3	beta5	0	1	0.64835
252	3	gamma2	0	1	0.70452
260	3	alpha2	0	1	0.60013
266	3	beta1	0	1	0.54432
274	3	gamma5	0	1	0.62469
280	3	alpha3	0	1	0.92061
284	3	gamma3	0	1	0.63971
290	3	alpha1	0	1	0.6967
294	3	gamma4	0	1	0.68828
300	3	alpha3	0	1	0.79978
308	3	alpha2	0	1	0.84032
314	3	beta3	0	1	0.65662
320	3	gamma5	0	1	0.7365
326	3	alpha4	0	1	0.71253
330	3	beta1	0	1	0.66479
336	3	gamma1	0	1	0.62455
340	3	beta4	0	1	0.6889
344	3	beta2	0	1	0.77684
352	3	alpha5	0	1	0.74503
360	3	beta5	0	1	0.64093
368	3	gamma2	0	1	0.71276
