onset	duration	item	repeat	accuracy	reaction_time
10	3	beta5	0	n/a	n/a
14	3	beta4	0	1	1.4073
22	3	alpha2	0	1	0.80805
28	3	alpha1	0	1	1.4722
32	3	alpha1	1	1	1.0831
40	3	beta1	0	1	0.95168
48	3	beta2	0	1	0.80792
56	3	gamma5	0	1	0.65609
60	3	alpha5	0	1	0.83227
66	3	gamma3	0	1	0.71252
70	3	gamma4	0	1	0.77604
76	3	alpha4	0	1	0.76061
82	3	alpha3	0	1	0.77635
86	3	beta3	0	1	0.83294
90	3	gamma1	0	1	1.7607
96	3	gamma2	0	1	1.0649
102	3	beta5	0	1	0.69635
108	3	beta2	0	1	0.74461
112	3	gamma3	0	1	1.0648
116	3	alpha1	0	1	1.4251
120	3	gamma5	0	1	1.0407
128	3	alpha4	0	1	0.73665
132	3	beta1	0	1	0.70457
136	3	beta1	1	1	0.90484
142	3	alpha2	0	1	0.79288
146	3	alpha2	1	1	0.76898
154	3	beta3	0	1	0.96079
158	3	alpha5	0	1	0.833
162	3	beta4	0	1	0.68922
166	3	gamma2	0	1	0.63311
174	3	gamma4	0	1	1.009
180	3	alpha3	0	1	0.75329
184	3	gamma1	0	1	0.83333
190	3	alpha3	0	1	0.84148
198	3	alpha5	0	1	1.0338
202	3	beta1	0	1	0.95381
208	3	alpha4	0	1	1.1212
216	3	gamma3	0	1	0.71359
222	3	beta3	0	1	1.3695
228	3	alpha1	0	1	1.026
234	3	alpha1	1	1	1.6739
242	3	gamma1	0	1	1.6502
248	3	beta5	0	1	1.2023
256	3	beta4	0	1	1.0102
262	3	gamma5	0	1	0.92994
268	3	gamma2	0	1	1.1383
272	3	gamma4	0	1	1.8426
276	3	alpha2	0	1	0.96277
282	3	beta2	0	1	1.5866
286	3	alpha5	0	1	0.64231
292	3	gamma1	0	1	0.635
300	3	alpha4	0	1	1.4828
306	3	alpha2	0	0	1.1626
310	3	beta4	0	1	2.0666
314	3	beta3	0	1	2.4593
320	3	beta5	0	1	1.7231
326	3	gamma2	0	1	1.0271
334	3	gamma3	0	1	1.3629
340	3	beta1	0	1	1.395
344	3	gamma5	0	1	2.2196
350	3	beta2	0	1	0.94848
354	3	alpha1	0	1	1.2436
358	3	alpha3	0	1	1.0355
364	3	gamma4	0	1	1.0837
