onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma3	0	1	0.86079
16	3	gamma2	0	1	0.79644
24	3	beta1	0	1	0.71662
30	3	beta3	0	1	1.2526
34	3	beta2	0	1	0.9891
40	3	alpha2	0	1	0.75697
48	3	alpha1	0	1	1.0212
56	3	beta5	0	1	1.1093
60	3	beta5	1	1	1.5251
66	3	alpha3	0	1	0.91625
70	3	beta4	0	1	1.029
74	3	gamma5	0	1	0.78935
80	3	gamma4	0	1	1.213
86	3	alpha5	0	1	1.4216
90	3	gamma1	0	1	1.0207
94	3	alpha4	0	1	1.1255
98	3	beta2	0	1	1.3418
104	3	beta3	0	1	1.3338
110	3	alpha4	0	1	1.2538
116	3	beta4	0	1	0.89351
122	3	alpha2	0	1	0.83715
130	3	alpha3	0	1	0.99766
134	3	gamma3	0	1	1.141
138	3	gamma5	0	1	0.83724
146	3	gamma4	0	1	1.0215
154	3	gamma1	0	1	0.91744
158	3	beta1	0	1	0.99065
162	3	alpha5	0	1	1.0545
166	3	alpha1	0	1	1.518
174	3	beta5	0	1	0.79795
178	3	gamma2	0	1	0.8701
182	3	alpha2	0	1	0.84671
188	3	beta5	0	1	1.086
196	3	beta4	0	1	1.7103
200	3	gamma2	0	1	1.2713
206	3	alpha5	0	1	1.1983
210	3	alpha5	1	1	1.3112
216	3	alpha1	0	1	1.0949
222	3	gamma3	0	1	0.98239
226	3	gamma5	0	1	1.5511
234	3	gamma4	0	1	1.2154
242	3	alpha4	0	1	1.0878
250	3	alpha3	0	1	1.1517
256	3	beta3	0	1	1.2795
260	3	beta1	0	1	1.4793
266	3	beta1	1	1	1.3198
272	3	gamma1	0	1	0.76007
278	3	beta2	0	1	1.1041
284	3	alpha3	0	1	0.89588
290	3	alpha3	1	0	0.74394
294	3	gamma3	0	1	0.99925
302	3	gamma4	0	1	0.99999
306	3	beta4	0	1	0.79162
310	3	beta1	0	1	0.95971
316	3	alpha2	0	1	0.6964
322	3	gamma2	0	1	0.94473
328	3	gamma1	0	1	1.4324
336	3	alpha1	0	1	1.0558
340	3	beta2	0	1	0.87206
346	3	alpha5	0	1	1.8722
350	3	alpha4	0	1	0.96845
354	3	gamma5	0	1	0.88043
358	3	beta5	0	1	0.95243
366	3	beta3	0	1	1.2646
