onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	1.8149
18	3	beta4	0	1	1.1112
22	3	alpha5	0	1	0.86327
30	3	alpha2	0	1	0.86322
34	3	alpha1	0	1	0.71135
40	3	alpha4	0	1	0.73559
48	3	gamma1	0	1	0.82321
56	3	alpha3	0	1	0.80739
60	3	gamma2	0	1	0.79926
66	3	gamma4	0	1	0.6078
74	3	beta2	0	1	0.69556
80	3	gamma3	0	1	0.66401
86	3	beta5	0	1	0.77615
92	3	beta1	0	0	1.4558
98	3	gamma5	0	1	0.91987
102	3	beta3	0	1	0.65574
110	3	alpha1	0	1	0.59211
118	3	alpha2	0	1	0.73642
124	3	alpha3	0	1	1.0647
128	3	gamma5	0	1	0.83235
132	3	beta1	0	1	0.71281
140	3	alpha5	0	1	1.0169
144	3	alpha4	0	1	1.4243
150	3	gamma4	0	1	0.81686
156	3	beta2	0	1	0.85673
164	3	gamma3	0	1	0.68893
168	3	gamma3	1	1	0.94497
172	3	beta5	0	1	0.83264
176	3	gamma1	0	1	0.68128
182	3	gamma2	0	1	0.66514
188	3	beta4	0	1	0.71314
192	3	beta3	0	1	0.88918
198	3	alpha1	0	1	0.60946
202	3	alpha4	0	1	1.0971
208	3	beta4	0	1	0.66555
214	3	gamma3	0	1	0.82498
218	3	alpha5	0	1	0.80922
224	3	beta1	0	1	0.61695
228	3	gamma5	0	1	0.63276
232	3	beta5	0	1	0.47327
238	3	alpha3	0	1	0.74482
242	3	gamma4	0	1	1.1049
246	3	alpha2	0	1	0.84951
254	3	gamma1	0	1	0.63346
258	3	gamma2	0	1	1.2255
266	3	beta2	0	1	0.54538
272	3	alpha4	0	1	0.78579
276	3	alpha2	0	1	0.88301
280	3	beta4	0	1	0.94583
288	3	gamma4	0	1	0.72965
294	3	alpha5	0	1	1.0899
298	3	beta1	0	1	0.82597
304	3	alpha1	0	1	0.73824
310	3	alpha1	1	1	1.1544
316	3	beta3	0	1	0.80193
322	3	beta5	0	1	0.9221
330	3	beta5	1	0	0.77827
334	3	alpha3	0	1	1.0744
338	3	gamma2	0	1	0.75417
346	3	gamma1	0	1	0.7062
352	3	gamma5	0	1	0.97833
358	3	gamma3	0	1	0.95456
362	3	gamma3	1	1	0.90708
366	3	beta2	0	1	0.64279
