onset	duration	item	repeat	accuracy	reaction_time
10	3	beta5	0	1	0.97471
18	3	beta3	0	1	0.9096
24	3	beta3	1	1	0.84629
30	3	gamma4	0	1	0.5988
34	3	alpha1	0	1	0.5584
40	3	gamma5	0	1	0.53499
48	3	alpha2	0	1	0.5348
54	3	beta4	0	1	0.68687
58	3	alpha3	0	1	0.59935
62	3	gamma2	0	1	0.57542
70	3	beta2	0	1	0.5356
74	3	gamma3	0	1	0.54244
82	3	alpha4	0	1	0.61564
86	3	gamma1	0	1	0.8874
90	3	alpha5	0	1	0.5672
98	3	beta1	0	1	0.6637
104	3	beta1	1	1	1.1035
110	3	alpha2	0	1	0.7598
116	3	beta1	0	1	0.65561
124	3	gamma1	0	1	0.78389
130	3	alpha4	0	1	0.68823
138	3	alpha3	0	1	0.66401
144	3	alpha1	0	1	0.67172
150	3	alpha1	1	0	0.98406
154	3	beta4	0	1	0.67192
158	3	beta3	0	1	0.69545
164	3	gamma5	0	1	0.99989
170	3	gamma3	0	1	0.61648
174	3	beta5	0	1	0.72768
178	3	alpha5	0	1	0.81557
186	3	beta2	0	1	0.7283
190	3	gamma2	0	1	0.75178
194	3	gamma4	0	1	0.57593
198	3	gamma4	1	1	1.3617
202	3	beta5	0	1	1.3359
210	3	gamma2	0	1	0.72068
216	3	alpha1	0	1	0.67231
220	3	alpha2	0	1	0.75254
224	3	alpha4	0	1	0.80815
228	3	gamma4	0	1	0.76046
232	3	alpha3	0	1	0.77666
236	3	gamma1	0	1	0.57683
240	3	alpha5	0	1	0.62466
246	3	gamma5	0	1	0.75281
254	3	beta3	0	1	0.64918
258	3	gamma3	0	1	0.56092
264	3	beta1	0	1	0.6893
270	3	beta2	0	1	0.52141
276	3	beta4	0	1	0.53769
284	3	alpha2	0	1	0.80932
290	3	alpha4	0	1	0.96941
298	3	gamma3	0	1	0.6178
304	3	beta4	0	1	0.5377
310	3	gamma2	0	1	0.52158
316	3	gamma5	0	1	0.5535
322	3	beta1	0	1	0.64983
330	3	gamma1	0	1	0.67356
336	3	gamma4	0	1	0.70587
340	3	beta3	0	1	0.77
344	3	alpha1	0	1	0.92994
348	3	beta2	0	1	0.69785
354	3	alpha3	0	1	0.51408
360	3	alpha5	0	1	0.53037
364	3	beta5	0	1	0.75462
