onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha5	0	1	0.66299
18	3	alpha2	0	1	0.61475
22	3	beta1	0	1	0.64694
26	3	alpha1	0	1	0.57506
34	3	alpha4	0	1	0.73527
38	3	beta3	0	1	0.59107
44	3	beta3	1	0	0.47112
52	3	gamma1	0	1	0.72772
56	3	gamma3	0	1	0.62341
62	3	gamma5	0	1	0.56784
68	3	alpha3	0	1	0.63979
72	3	gamma4	0	1	1.0077
78	3	gamma2	0	1	1.1441
82	3	beta2	0	1	0.5281
88	3	beta5	0	1	0.51959
92	3	beta4	0	1	0.76786
96	3	beta1	0	1	0.576
104	3	gamma5	0	1	0.56785
108	3	gamma2	0	n/a	n/a
114	3	beta3	0	1	0.49582
122	3	beta5	0	1	0.50326
128	3	gamma3	0	1	0.61579
134	3	gamma4	0	n/a	n/a
140	3	alpha4	0	1	0.54339
146	3	gamma1	0	1	0.50346
152	3	beta4	0	1	0.62354
158	3	alpha2	0	1	0.52206
166	3	alpha2	1	0	0.59936
172	3	alpha1	0	1	0.63913
176	3	alpha3	0	1	0.9294
182	3	beta2	0	1	0.65546
186	3	alpha5	0	1	0.55319
194	3	beta2	0	1	0.55924
200	3	alpha2	0	1	0.62363
206	3	alpha3	0	1	1.6147
212	3	gamma4	0	1	0.61507
218	3	alpha4	0	1	0.51956
222	3	alpha4	1	0	0.52977
226	3	alpha1	0	1	0.7214
230	3	beta4	0	1	0.61793
234	3	beta3	0	1	0.818
238	3	gamma5	0	1	0.52217
242	3	gamma1	0	0	0.87416
250	3	beta1	0	1	0.71958
254	3	beta5	0	1	1.0557
260	3	gamma2	0	1	0.67894
266	3	gamma3	0	1	0.57526
270	3	alpha5	0	1	0.63209
274	3	alpha3	0	1	0.7866
282	3	alpha2	0	1	0.54659
288	3	beta2	0	1	0.59973
294	3	beta3	0	1	0.57528
298	3	alpha1	0	1	0.80804
306	3	gamma5	0	1	0.82646
314	3	gamma3	0	1	0.68695
322	3	gamma2	0	1	1.0549
326	3	gamma4	0	1	0.74315
332	3	gamma1	0	1	0.59814
338	3	gamma1	1	0	0.52742
346	3	beta4	0	1	0.59098
350	3	beta1	0	0	0.87948
354	3	alpha4	0	1	0.68298
358	3	beta5	0	1	0.60334
366	3	alpha5	0	1	0.75537
