onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	n/a	n/a
16	3	alpha2	0	1	1.9929
20	3	alpha5	0	1	1.4329
28	3	beta4	0	1	1.0001
36	3	gamma1	0	1	0.67265
42	3	beta2	0	1	0.91214
50	3	gamma2	0	1	0.67196
54	3	beta5	0	1	0.92142
58	3	beta1	0	1	1.1938
64	3	alpha1	0	1	0.72012
72	3	gamma5	0	1	0.7122
78	3	alpha3	0	1	0.71186
82	3	beta3	0	1	0.78591
86	3	gamma3	0	1	0.60982
92	3	alpha4	0	1	0.71244
100	3	alpha2	0	1	0.656
106	3	beta2	0	1	0.73562
112	3	alpha4	0	1	0.71195
118	3	beta4	0	1	0.97655
122	3	gamma1	0	1	1.2345
130	3	alpha3	0	1	0.84824
138	3	alpha5	0	1	0.82473
144	3	beta3	0	1	0.85618
148	3	alpha1	0	1	0.8906
154	3	gamma3	0	1	0.90436
160	3	gamma2	0	1	0.82425
168	3	gamma4	0	0	0.85649
174	3	beta1	0	1	0.60822
178	3	gamma5	0	1	0.73616
182	3	beta5	0	1	0.94435
188	3	gamma1	0	1	0.78484
192	3	alpha1	0	1	0.84912
198	3	alpha5	0	0	0.99256
202	3	alpha3	0	0	1.4637
206	3	gamma5	0	1	0.61952
210	3	gamma5	1	0	0.92853
216	3	gamma4	0	1	0.81579
222	3	beta3	0	1	0.78396
230	3	beta3	1	1	0.87988
234	3	beta5	0	1	1.3442
240	3	beta2	0	1	1.1766
244	3	gamma2	0	1	0.87601
248	3	beta4	0	1	1.1801
256	3	beta4	1	1	1.1323
262	3	alpha4	0	1	0.72813
270	3	alpha2	0	1	0.93666
276	3	gamma3	0	1	0.94818
282	3	beta1	0	1	0.79648
290	3	beta4	0	1	1.0929
294	3	gamma3	0	1	1.0607
298	3	alpha3	0	1	0.58888
304	3	gamma5	0	1	1.0126
310	3	beta2	0	1	0.73306
314	3	beta3	0	1	0.82119
318	3	beta3	1	1	1.2214
322	3	alpha5	0	1	0.73337
326	3	gamma1	0	1	0.66082
330	3	gamma4	0	0	1.3733
334	3	beta5	0	1	0.70955
338	3	gamma2	0	1	0.80538
344	3	alpha4	0	1	0.90134
352	3	alpha1	0	1	0.79772
358	3	beta1	0	1	0.66171
366	3	alpha2	0	1	0.79743
