onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma3	0	1	1.2552
16	3	gamma2	0	1	0.86297
20	3	beta4	0	1	0.73765
24	3	alpha3	0	1	0.71336
32	3	beta1	0	1	0.55964
38	3	alpha4	0	1	0.64715
42	3	gamma1	0	1	1.063
46	3	beta2	0	1	0.9696
52	3	gamma5	0	1	0.70281
58	3	alpha2	0	1	0.82264
64	3	beta3	0	1	0.58318
72	3	gamma4	0	1	0.52698
78	3	alpha1	0	1	0.69551
82	3	beta5	0	1	0.85854
86	3	alpha5	0	1	0.73853
90	3	beta4	0	1	0.58654
96	3	alpha5	0	1	0.59133
100	3	alpha3	0	1	0.66623
108	3	gamma3	0	1	0.67137
116	3	gamma3	1	0	0.6546
120	3	beta3	0	1	0.53902
124	3	alpha2	0	1	0.62664
128	3	gamma4	0	1	0.64259
132	3	gamma2	0	1	0.90664
140	3	beta1	0	1	0.89551
146	3	alpha1	0	1	0.60062
152	3	alpha4	0	1	0.74284
158	3	beta5	0	1	0.79902
166	3	gamma1	0	1	0.5994
174	3	gamma5	0	0	1.2795
180	3	beta2	0	1	0.56838
186	3	alpha4	0	1	0.4634
190	3	alpha3	0	1	0.45996
194	3	gamma1	0	1	0.63595
202	3	beta3	0	1	0.63213
206	3	beta5	0	1	0.60777
210	3	beta4	0	1	0.69185
214	3	beta1	0	1	0.72416
220	3	gamma3	0	1	0.99964
226	3	alpha2	0	1	0.6964
230	3	alpha5	0	1	0.8163
234	3	alpha1	0	0	1.2281
238	3	alpha1	1	1	1.6041
244	3	gamma2	0	1	0.49621
250	3	gamma4	0	1	0.94811
258	3	beta2	0	1	0.6686
264	3	gamma5	0	1	0.53595
272	3	gamma1	0	1	1.1088
278	3	alpha4	0	1	0.58108
282	3	alpha4	1	0	1.0368
290	3	beta1	0	1	0.56466
296	3	beta1	1	1	1.5573
304	3	beta2	0	1	0.57314
312	3	gamma4	0	1	0.83745
316	3	gamma2	0	1	0.74939
322	3	beta3	0	1	0.67711
326	3	alpha5	0	1	0.59732
332	3	gamma5	0	1	0.69328
338	3	alpha3	0	1	0.67791
344	3	gamma3	0	1	0.64541
350	3	alpha2	0	1	0.70982
354	3	beta4	0	1	0.64613
360	3	alpha1	0	1	0.79819
368	3	beta5	0	1	0.64574
