onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	1	1.0386
16	3	alpha2	0	1	0.62241
20	3	alpha5	0	1	0.56694
28	3	beta4	0	1	0.62294
36	3	gamma1	0	1	1.2069
42	3	beta2	0	1	0.5589
50	3	gamma2	0	1	0.57555
54	3	beta5	0	1	0.53495
58	3	beta1	0	1	0.55957
64	3	alpha1	0	1	0.62349
72	3	gamma5	0	1	0.54315
78	3	alpha3	0	1	0.59143
82	3	beta3	0	1	0.9515
86	3	gamma3	0	1	0.87172
92	3	alpha4	0	1	0.68001
100	3	alpha2	0	1	0.6238
106	3	beta2	0	1	0.69605
112	3	alpha4	0	1	0.9131
118	3	beta4	0	1	0.7038
122	3	gamma1	0	1	0.62417
130	3	alpha3	0	1	0.68796
138	3	alpha5	0	1	0.67223
144	3	beta3	0	1	0.60869
148	3	alpha1	0	1	0.61662
154	3	gamma3	0	1	0.61633
160	3	gamma2	0	1	0.57679
168	3	gamma4	0	1	0.75304
174	3	beta1	0	1	0.67275
178	3	gamma5	0	1	1.0092
182	3	beta5	0	1	0.56106
188	3	gamma1	0	1	0.65699
192	3	alpha1	0	1	0.88115
198	3	alpha5	0	1	1.0254
202	3	alpha3	0	1	1.0891
206	3	gamma5	0	1	0.6414
210	3	gamma5	1	1	1.0892
216	3	gamma4	0	1	0.62299
222	3	beta3	0	1	0.79345
230	3	beta3	1	1	1.0897
234	3	beta5	0	1	1.0974
240	3	beta2	0	1	0.59919
244	3	gamma2	0	1	0.87316
248	3	beta4	0	1	0.76199
256	3	beta4	1	0	0.97768
262	3	alpha4	0	1	0.60177
270	3	alpha2	0	1	0.54624
276	3	gamma3	0	1	0.50642
282	3	beta1	0	1	0.61807
290	3	beta4	0	1	1.2661
294	3	gamma3	0	1	0.90651
298	3	alpha3	0	1	0.72221
304	3	gamma5	0	1	1.1544
310	3	beta2	0	1	0.65863
314	3	beta3	0	1	0.59453
318	3	beta3	1	1	1.0346
322	3	alpha5	0	1	0.69897
326	3	gamma1	0	1	1.3311
330	3	gamma4	0	0	1.2189
334	3	beta5	0	1	0.4906
338	3	gamma2	0	1	0.53119
344	3	alpha4	0	1	0.66261
352	3	alpha1	0	1	0.73897
358	3	beta1	0	1	0.79528
366	3	alpha2	0	1	0.64356
