onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	n/a	n/a
18	3	gamma5	0	1	1.1322
26	3	alpha1	0	1	0.93196
32	3	beta2	0	1	1.5415
36	3	beta3	0	1	1.2125
40	3	gamma3	0	1	1.0285
46	3	beta1	0	1	0.74865
52	3	alpha2	0	1	0.68478
56	3	gamma1	0	1	1.6046
62	3	alpha5	0	1	0.85251
68	3	gamma4	0	1	0.76451
72	3	alpha4	0	1	0.60447
80	3	beta5	0	1	0.73311
88	3	gamma2	0	1	0.90101
96	3	alpha3	0	1	0.88506
104	3	alpha3	1	1	1.397
108	3	gamma5	0	1	1.0372
114	3	gamma2	0	1	1.0613
118	3	alpha1	0	1	0.89309
124	3	beta1	0	1	1.2212
128	3	alpha2	0	1	1.6132
134	3	gamma3	0	1	0.73344
140	3	beta2	0	1	0.93356
144	3	gamma1	0	1	1.0215
148	3	beta3	0	1	1.51
154	3	alpha3	0	1	0.90954
160	3	gamma4	0	1	1.0461
168	3	alpha5	0	1	0.78974
172	3	alpha4	0	n/a	n/a
178	3	beta4	0	1	0.94208
182	3	beta5	0	1	1.4659
188	3	beta3	0	1	1.2586
192	3	beta3	1	1	2.0942
196	3	gamma1	0	1	1.2782
202	3	gamma3	0	1	1.0516
206	3	beta1	0	1	1.3114
210	3	gamma5	0	1	2.2308
216	3	beta4	0	1	1.9221
222	3	beta5	0	1	1.6747
228	3	beta5	1	1	1.3909
232	3	alpha5	0	1	1.6628
236	3	beta2	0	1	1.7665
244	3	alpha4	0	1	1.651
248	3	alpha2	0	1	2.3433
252	3	alpha3	0	1	1.2951
260	3	gamma4	0	1	0.66745
266	3	alpha1	0	1	0.79941
270	3	gamma2	0	1	1.7594
276	3	gamma3	0	1	1.3152
282	3	gamma1	0	1	1.6508
286	3	beta3	0	1	1.2554
294	3	alpha1	0	1	0.67946
302	3	alpha5	0	1	1.3196
310	3	alpha2	0	1	0.94403
314	3	beta4	0	1	0.93589
318	3	beta5	0	1	0.96807
324	3	beta1	0	1	0.77589
332	3	beta2	0	1	1.3843
336	3	gamma4	0	n/a	n/a
344	3	gamma5	0	1	0.77659
350	3	gamma2	0	1	1.0242
356	3	alpha4	0	1	1.5479
362	3	alpha3	0	1	0.68846
368	3	alpha3	1	0	0.86425
