onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	n/a	n/a
18	3	gamma1	0	1	1.0792
26	3	beta1	0	1	0.7188
32	3	alpha3	0	1	0.81248
36	3	gamma3	0	1	1.1192
40	3	beta3	0	1	1.5035
48	3	beta3	1	0	0.54069
54	3	gamma4	0	1	0.67949
62	3	alpha1	0	1	0.87952
68	3	alpha4	0	1	0.80001
76	3	gamma2	0	1	0.6796
82	3	alpha5	0	1	0.81616
86	3	beta5	0	1	0.96805
92	3	gamma5	0	1	0.64816
96	3	beta2	0	1	2.8803
100	3	beta4	0	1	0.88014
108	3	alpha5	0	1	0.87227
112	3	gamma1	0	1	0.69604
118	3	gamma4	0	1	1.1843
122	3	beta2	0	1	1.192
128	3	alpha2	0	1	1.1434
132	3	beta4	0	1	0.75274
140	3	alpha3	0	1	0.92076
144	3	alpha1	0	1	0.70456
148	3	beta3	0	1	0.69615
152	3	gamma3	0	1	1.745
158	3	alpha4	0	1	1.0727
164	3	beta5	0	1	0.7523
168	3	gamma2	0	1	0.69608
172	3	beta1	0	1	1.593
176	3	gamma5	0	1	2.2803
180	3	alpha5	0	1	1.8884
186	3	beta5	0	n/a	n/a
192	3	gamma2	0	1	0.64838
198	3	gamma4	0	1	0.70461
204	3	gamma3	0	1	1.1685
212	3	gamma5	0	1	1.817
218	3	gamma5	1	0	0.85694
226	3	alpha2	0	1	1.0247
230	3	alpha1	0	0	1.8328
236	3	alpha4	0	1	1.097
244	3	beta4	0	1	0.99349
248	3	alpha3	0	1	0.93684
254	3	beta1	0	1	0.69718
260	3	gamma1	0	1	0.76176
268	3	beta2	0	1	1.1696
274	3	beta3	0	1	0.68976
278	3	beta1	0	1	1.2898
284	3	beta1	1	0	0.51364
292	3	alpha4	0	1	0.70593
296	3	beta3	0	1	0.89776
304	3	alpha1	0	1	0.94613
310	3	gamma3	0	1	1.1303
316	3	beta2	0	1	1.0425
322	3	beta4	0	1	1.6504
326	3	beta4	1	0	1.0183
332	3	gamma1	0	1	0.76223
336	3	alpha5	0	1	0.92243
342	3	gamma4	0	1	0.77078
348	3	alpha3	0	1	0.59463
352	3	alpha2	0	1	0.7629
356	3	gamma2	0	1	0.68271
364	3	beta5	0	1	0.87499
368	3	gamma5	0	1	0.87507
