onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	n/a	n/a
14	3	alpha4	0	1	0.86138
20	3	gamma4	0	1	1.2612
24	3	alpha1	0	1	1.2935
32	3	gamma5	0	1	0.46147
40	3	gamma2	0	1	1.1976
46	3	gamma3	0	1	0.78167
54	3	beta1	0	1	0.87005
60	3	alpha3	0	1	0.90986
68	3	gamma1	0	1	0.78251
74	3	beta5	0	1	0.93393
80	3	beta2	0	1	1.8144
84	3	alpha5	0	1	2.6223
90	3	beta4	0	1	0.84664
94	3	beta3	0	1	0.83836
100	3	alpha4	0	1	0.69122
106	3	alpha3	0	1	0.91045
112	3	gamma4	0	1	1.0865
116	3	beta5	0	1	1.5667
120	3	gamma1	0	1	1.0309
126	3	alpha5	0	1	1.0551
134	3	gamma2	0	1	0.94295
138	3	alpha2	0	1	1.135
146	3	beta1	0	1	0.95117
154	3	beta4	0	1	1.2232
158	3	alpha1	0	1	1.0658
162	3	beta2	0	1	0.89567
166	3	beta2	1	1	0.79124
172	3	gamma5	0	1	1.5117
178	3	gamma3	0	1	1.1037
184	3	beta3	0	1	0.83153
188	3	beta5	0	1	1.0474
194	3	gamma3	0	1	0.60762
200	3	beta4	0	1	1.1511
206	3	alpha1	0	1	0.75985
212	3	alpha5	0	1	0.78416
216	3	beta2	0	1	0.97587
222	3	gamma2	0	1	0.75216
226	3	beta1	0	1	0.6795
234	3	beta3	0	1	1.6556
240	3	gamma5	0	1	0.65626
244	3	gamma1	0	0	1.0327
250	3	gamma1	1	0	1.376
256	3	alpha3	0	1	0.73617
260	3	alpha3	1	0	1.151
266	3	alpha2	0	1	0.98457
270	3	gamma4	0	1	0.74351
278	3	alpha4	0	1	0.88571
286	3	beta3	0	1	0.78385
294	3	beta4	0	1	0.74223
298	3	alpha1	0	1	1.0733
304	3	alpha5	0	1	0.63893
308	3	gamma4	0	1	0.83339
316	3	alpha4	0	1	0.75969
320	3	beta1	0	1	1.1618
324	3	beta1	1	1	1.1453
330	3	alpha3	0	1	0.78357
338	3	beta5	0	1	0.72883
342	3	beta2	0	1	0.95357
346	3	gamma1	0	1	0.86605
352	3	alpha2	0	1	0.67236
356	3	gamma3	0	1	1.1774
360	3	gamma5	0	0	1.2176
368	3	gamma2	0	1	0.84778
