onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	1.6079
14	3	gamma5	0	1	0.72094
18	3	alpha2	0	1	0.62395
24	3	beta1	0	1	0.66339
32	3	beta5	0	1	0.58498
38	3	alpha4	0	1	0.59956
46	3	gamma3	0	1	0.4791
50	3	alpha3	0	1	0.55307
54	3	alpha1	0	1	0.76924
58	3	alpha1	1	1	0.93744
62	3	gamma4	0	1	0.48942
68	3	beta2	0	1	0.52778
74	3	alpha5	0	1	0.4804
78	3	gamma2	0	1	0.54595
84	3	gamma1	0	1	0.57592
90	3	beta4	0	1	0.58395
98	3	alpha5	0	1	0.53534
104	3	alpha2	0	1	0.85506
112	3	alpha2	1	1	0.84692
120	3	gamma2	0	1	0.49596
128	3	gamma3	0	1	0.55919
136	3	gamma4	0	1	0.58385
142	3	alpha4	0	1	0.60276
148	3	alpha1	0	0	0.92599
152	3	beta3	0	1	0.55494
156	3	gamma5	0	1	0.52766
164	3	beta2	0	1	0.97474
172	3	gamma1	0	1	0.91829
178	3	beta5	0	1	0.5114
184	3	beta4	0	1	0.85086
190	3	beta1	0	1	0.88734
194	3	alpha3	0	1	0.63117
198	3	alpha1	0	1	0.98726
202	3	alpha2	0	1	1.1687
206	3	gamma5	0	1	0.61943
212	3	alpha5	0	1	0.58382
216	3	beta4	0	1	0.69986
222	3	alpha4	0	1	0.64096
230	3	beta1	0	1	0.5077
238	3	gamma2	0	1	0.66001
242	3	beta5	0	1	0.66834
248	3	gamma3	0	1	0.5543
252	3	beta2	0	1	0.51588
256	3	gamma4	0	1	0.53979
260	3	beta3	0	1	0.54026
266	3	gamma1	0	1	0.53831
272	3	alpha3	0	1	0.58717
278	3	alpha4	0	1	0.51569
282	3	beta1	0	1	0.48473
288	3	alpha5	0	1	0.89119
294	3	beta5	0	1	0.52172
298	3	beta5	1	1	1.73
304	3	alpha2	0	1	0.40279
308	3	alpha2	1	1	1.2452
312	3	gamma1	0	1	0.70882
316	3	beta2	0	1	0.66076
322	3	beta3	0	1	0.82068
330	3	gamma5	0	1	0.60511
334	3	gamma3	0	1	0.57342
340	3	alpha3	0	1	0.68566
346	3	alpha1	0	1	1.2205
354	3	beta4	0	1	0.72515
360	3	gamma2	0	1	0.59732
364	3	gamma4	0	1	0.58143
