onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma3	0	1	0.98933
16	3	gamma3	1	1	1.0689
22	3	alpha5	0	1	0.87765
30	3	gamma1	0	1	1.0456
38	3	beta2	0	1	1.0534
42	3	beta3	0	1	0.82161
50	3	alpha3	0	1	0.94155
56	3	beta4	0	1	1.5178
60	3	alpha2	0	1	0.86163
64	3	gamma5	0	1	1.126
70	3	gamma2	0	1	0.8301
78	3	beta5	0	1	1.0463
84	3	gamma4	0	1	0.79055
88	3	beta1	0	1	0.87006
94	3	alpha1	0	1	0.93448
102	3	alpha4	0	1	1.1748
106	3	beta1	0	1	1.0144
112	3	alpha4	0	1	0.61649
116	3	beta3	0	1	0.74275
120	3	gamma4	0	1	0.83854
124	3	alpha2	0	1	0.89456
132	3	alpha2	1	1	1.0066
138	3	gamma1	0	1	0.6949
146	3	gamma2	0	1	0.83098
150	3	alpha3	0	1	1.4788
154	3	alpha1	0	1	1.0153
162	3	gamma3	0	1	0.86464
168	3	gamma5	0	1	0.62332
174	3	beta4	0	1	1.071
178	3	beta5	0	1	0.83146
184	3	alpha5	0	1	0.55125
188	3	beta2	0	1	0.97577
196	3	beta2	1	0	0.65542
200	3	alpha4	0	1	1.104
208	3	gamma2	0	1	0.72775
212	3	gamma4	0	1	0.78361
218	3	gamma1	0	1	1.5909
224	3	beta1	0	1	0.9274
228	3	beta3	0	1	0.98312
234	3	alpha3	0	1	1.4564
238	3	beta4	0	1	1.3282
244	3	beta2	0	1	1.9523
248	3	alpha5	0	1	0.6236
252	3	alpha1	0	1	1.4154
260	3	beta5	0	1	0.90373
264	3	gamma3	0	1	1.0478
270	3	gamma5	0	1	0.91229
276	3	alpha2	0	1	0.8559
284	3	gamma2	0	1	0.83213
290	3	alpha4	0	1	0.75244
296	3	gamma1	0	1	0.73604
302	3	alpha2	0	1	0.73658
306	3	beta2	0	1	0.68813
312	3	alpha1	0	1	0.78438
316	3	beta3	0	1	0.90485
324	3	gamma5	0	1	0.68841
330	3	beta4	0	1	0.56842
334	3	alpha5	0	1	0.77685
342	3	beta1	0	1	0.68896
348	3	gamma3	0	1	0.56073
354	3	gamma4	0	1	0.61707
358	3	alpha3	0	1	0.62483
362	3	alpha3	1	0	0.61749
368	3	beta5	0	1	0.52927
