onset	duration	item	repeat	accuracy	reaction_time
10	3	beta5	0	n/a	n/a
18	3	alpha1	0	1	1.0868
22	3	alpha5	0	1	1.239
26	3	gamma2	0	1	1.3352
30	3	alpha2	0	1	0.81507
36	3	alpha4	0	1	0.71934
40	3	beta4	0	1	0.83104
46	3	beta1	0	1	0.70345
52	3	gamma3	0	1	0.98364
56	3	alpha3	0	1	0.79924
62	3	gamma5	0	1	0.59974
66	3	gamma4	0	1	0.67147
72	3	beta2	0	1	0.58353
76	3	gamma1	0	1	0.70387
82	3	beta3	0	1	0.66368
88	3	beta4	0	1	0.6557
92	3	beta5	0	1	0.70358
96	3	gamma5	0	1	0.6562
104	3	gamma4	0	1	0.68806
110	3	alpha3	0	1	0.61592
116	3	gamma1	0	1	0.65609
120	3	alpha5	0	1	0.62402
128	3	alpha4	0	1	0.88037
136	3	alpha4	1	1	1.3762
144	3	gamma3	0	1	1.6008
148	3	alpha1	0	1	0.81612
154	3	gamma2	0	1	0.66441
158	3	beta3	0	1	0.65642
164	3	alpha2	0	1	0.609
172	3	beta2	0	1	0.66508
178	3	beta1	0	1	0.79293
182	3	gamma4	0	1	1.0892
188	3	alpha1	0	1	0.5688
194	3	alpha2	0	1	0.60944
198	3	alpha4	0	1	0.64917
202	3	beta1	0	1	0.58544
206	3	beta1	1	1	0.82507
214	3	beta5	0	1	1.4086
220	3	beta4	0	1	1.0009
224	3	gamma2	0	1	0.75288
230	3	alpha5	0	1	0.87327
236	3	alpha5	1	1	0.83321
242	3	alpha3	0	1	0.8491
250	3	gamma1	0	1	0.61745
256	3	beta2	0	1	0.64122
260	3	beta3	0	1	0.68922
264	3	beta3	1	0	0.76919
272	3	gamma3	0	1	0.76977
276	3	gamma5	0	1	1.1215
282	3	gamma2	0	1	0.97766
290	3	beta2	0	1	0.61792
294	3	beta1	0	1	0.93779
302	3	gamma1	0	1	0.56936
310	3	beta5	0	1	0.61008
314	3	gamma5	0	1	0.94578
320	3	gamma4	0	1	0.65042
326	3	alpha1	0	1	0.67419
332	3	alpha5	0	0	0.9782
336	3	beta3	0	1	0.93879
340	3	alpha4	0	1	0.79454
346	3	alpha3	0	0	1.1225
354	3	beta4	0	1	0.59519
362	3	gamma3	0	1	0.62671
368	3	alpha2	0	1	0.61061
