onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	1	0.57334
14	3	beta1	0	1	0.82773
18	3	alpha2	0	1	0.72422
24	3	beta3	0	1	0.56379
28	3	alpha4	0	1	0.6443
32	3	gamma2	0	1	0.764
36	3	gamma3	0	1	0.74026
40	3	alpha1	0	1	0.58831
46	3	gamma5	0	1	0.58831
50	3	beta4	0	1	0.60441
54	3	beta5	0	1	0.85226
62	3	gamma4	0	1	0.61252
66	3	gamma1	0	1	0.90917
74	3	alpha3	0	1	0.62051
80	3	alpha5	0	1	0.58494
84	3	gamma5	0	1	0.72473
90	3	gamma5	1	1	0.82099
96	3	beta1	0	1	0.73323
102	3	alpha1	0	1	0.76544
106	3	beta4	0	1	0.62149
110	3	beta4	1	1	0.76496
116	3	gamma4	0	1	0.74923
120	3	beta5	0	1	0.71725
126	3	beta2	0	1	0.62917
134	3	alpha5	0	1	0.55794
142	3	alpha2	0	1	0.62963
150	3	gamma3	0	1	0.62154
156	3	alpha3	0	1	0.55787
160	3	gamma2	0	1	0.88608
168	3	beta3	0	1	0.79009
176	3	gamma1	0	1	0.68644
182	3	alpha4	0	1	0.57431
186	3	beta3	0	1	0.81399
194	3	gamma1	0	1	0.67044
200	3	beta2	0	1	0.60617
208	3	alpha3	0	1	0.64663
216	3	gamma3	0	1	0.76658
222	3	alpha4	0	1	0.63065
228	3	alpha2	0	1	0.6147
234	3	gamma5	0	1	0.4711
240	3	beta1	0	1	0.63873
244	3	beta5	0	1	0.75876
252	3	gamma2	0	1	0.60706
260	3	gamma4	0	1	0.56754
266	3	beta4	0	1	0.6236
270	3	alpha5	0	1	0.75157
276	3	alpha1	0	1	0.78315
280	3	beta2	0	1	0.71988
286	3	gamma3	0	1	0.79974
292	3	alpha4	0	1	0.6395
298	3	alpha1	0	1	0.56751
302	3	alpha1	1	1	0.83946
308	3	beta1	0	1	0.67975
316	3	alpha3	0	1	0.63989
324	3	beta5	0	1	0.5762
330	3	beta5	1	1	0.84052
334	3	alpha5	0	1	0.72815
338	3	gamma2	0	1	0.66396
344	3	gamma1	0	1	0.68792
348	3	beta3	0	1	0.69663
352	3	gamma5	0	1	0.75243
356	3	alpha2	0	1	0.67224
362	3	gamma4	0	1	0.63162
368	3	beta4	0	1	0.59262
