onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	1	0.78423
14	3	beta1	0	1	0.63312
18	3	alpha2	0	1	0.56883
24	3	beta3	0	1	0.47244
28	3	alpha4	0	1	0.56016
32	3	gamma2	0	1	0.62429
36	3	gamma3	0	1	0.64027
40	3	alpha1	0	1	0.56929
46	3	gamma5	0	1	0.54447
50	3	beta4	0	1	0.77707
54	3	beta5	0	1	0.73751
62	3	gamma4	0	1	0.53669
66	3	gamma1	0	1	0.59377
74	3	alpha3	0	1	0.52751
80	3	alpha5	0	1	0.8194
84	3	gamma5	0	1	1.0499
90	3	gamma5	1	1	0.71998
96	3	beta1	0	1	0.53025
102	3	alpha1	0	1	0.416
106	3	beta4	0	1	0.56198
110	3	beta4	1	1	0.74678
116	3	gamma4	0	1	0.4323
120	3	beta5	0	1	0.95422
126	3	beta2	0	1	0.78408
134	3	alpha5	0	1	0.60736
142	3	alpha2	0	1	0.73635
150	3	gamma3	0	1	0.63157
156	3	alpha3	0	1	0.59956
160	3	gamma2	0	1	0.80748
168	3	beta3	0	1	0.52743
176	3	gamma1	0	1	0.57636
182	3	alpha4	0	1	0.91232
186	3	beta3	0	1	0.80276
194	3	gamma1	0	1	0.59167
200	3	beta2	0	1	0.83226
208	3	alpha3	0	1	0.52038
216	3	gamma3	0	1	0.48048
222	3	alpha4	0	1	0.5361
228	3	alpha2	0	1	0.52026
234	3	gamma5	0	1	0.57651
240	3	beta1	0	1	0.49568
244	3	beta5	0	1	0.82458
252	3	gamma2	0	1	0.52888
260	3	gamma4	0	1	0.60122
266	3	beta4	0	1	0.60803
270	3	alpha5	0	1	0.76122
276	3	alpha1	0	1	0.60909
280	3	beta2	0	1	0.56926
286	3	gamma3	0	1	0.6023
292	3	alpha4	0	1	0.5049
298	3	alpha1	0	1	0.56133
302	3	alpha1	1	1	0.82089
308	3	beta1	0	1	0.57106
316	3	alpha3	0	1	0.59298
324	3	beta5	0	1	0.63217
330	3	beta5	1	1	0.94539
334	3	alpha5	0	1	0.57673
338	3	gamma2	0	1	0.66497
344	3	gamma1	0	1	0.46492
348	3	beta3	0	1	0.84094
352	3	gamma5	0	1	0.65682
356	3	alpha2	0	1	0.71616
362	3	gamma4	0	1	0.74506
368	3	beta4	0	1	0.57318
