onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	n/a	n/a
18	3	beta3	0	1	0.99701
24	3	alpha5	0	1	0.79697
28	3	gamma2	0	1	0.78929
32	3	gamma4	0	1	0.77354
40	3	gamma3	0	1	1.0775
46	3	beta4	0	1	1.7732
50	3	beta5	0	1	1.2538
54	3	alpha4	0	1	0.70962
58	3	alpha2	0	1	0.7414
64	3	beta1	0	1	0.76568
70	3	gamma1	0	1	0.72548
74	3	alpha3	0	1	0.72587
78	3	alpha1	0	1	0.99786
82	3	gamma5	0	1	0.68625
86	3	gamma3	0	1	0.74983
94	3	alpha4	0	1	0.81426
100	3	alpha4	1	1	1.1341
108	3	gamma5	0	1	1.39
114	3	beta2	0	1	0.83827
120	3	beta5	0	1	0.84663
124	3	alpha2	0	1	1.4543
128	3	alpha5	0	1	0.95071
132	3	alpha5	1	0	1.2387
138	3	alpha3	0	0	1.8066
146	3	gamma2	0	1	0.72673
152	3	alpha1	0	1	0.69464
158	3	beta3	0	1	0.59868
166	3	gamma4	0	1	0.65478
174	3	beta4	0	1	0.639
180	3	gamma1	0	1	0.65525
186	3	beta1	0	1	0.71909
192	3	gamma4	0	1	0.62319
200	3	alpha3	0	1	0.99939
204	3	gamma5	0	1	0.72724
212	3	alpha1	0	1	0.75965
218	3	alpha1	1	0	1.3436
222	3	beta2	0	1	0.60765
226	3	gamma1	0	1	0.79165
230	3	beta3	0	1	0.72775
238	3	alpha2	0	1	0.97567
242	3	beta1	0	1	0.83146
246	3	gamma3	0	1	0.8163
250	3	beta5	0	1	0.76828
258	3	alpha5	0	1	0.73616
262	3	alpha4	0	1	0.97598
268	3	beta4	0	1	0.72793
274	3	gamma2	0	1	1.0397
280	3	alpha1	0	1	0.76751
284	3	gamma3	0	1	0.88807
290	3	beta1	0	1	1.2956
296	3	beta3	0	1	1.2238
302	3	beta4	0	1	0.75234
306	3	alpha5	0	1	0.91211
314	3	alpha3	0	1	1.0085
322	3	alpha2	0	1	1.5444
328	3	beta5	0	1	0.90414
332	3	gamma5	0	1	0.62439
340	3	gamma5	1	0	1.5527
346	3	alpha4	0	1	0.76095
352	3	gamma4	0	1	0.58485
356	3	beta2	0	1	0.68059
362	3	gamma2	0	1	0.70466
366	3	gamma1	0	1	1.0491
