onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma5	0	1	0.5615
14	3	alpha2	0	1	0.72079
18	3	gamma3	0	1	0.80847
22	3	gamma4	0	1	0.92053
28	3	alpha5	0	1	0.92886
32	3	beta1	0	1	0.68102
40	3	alpha3	0	1	0.51304
48	3	beta2	0	1	0.97721
52	3	gamma2	0	1	0.79343
56	3	gamma1	0	1	0.72121
60	3	beta3	0	1	0.74502
66	3	beta4	0	1	0.75352
70	3	alpha1	0	1	0.71314
76	3	alpha4	0	1	0.61676
80	3	beta5	0	1	0.64071
84	3	alpha3	0	1	0.5766
90	3	alpha3	1	1	0.89732
98	3	gamma2	0	1	1.0249
102	3	gamma2	1	1	1.0732
108	3	alpha1	0	1	0.73734
116	3	beta2	0	1	0.6974
120	3	alpha5	0	1	1.1214
128	3	alpha2	0	1	0.68171
134	3	gamma4	0	1	0.68121
140	3	gamma3	0	1	0.66553
146	3	beta1	0	1	0.61001
150	3	gamma5	0	1	0.65795
158	3	beta3	0	1	0.56162
162	3	beta5	0	1	0.58559
168	3	gamma1	0	1	0.73797
174	3	beta4	0	1	1.5619
180	3	alpha4	0	1	0.72994
188	3	alpha4	1	1	1.09
192	3	alpha3	0	1	0.86456
196	3	alpha5	0	1	0.97815
202	3	alpha2	0	0	1.0186
206	3	alpha1	0	1	1.2904
210	3	gamma5	0	1	0.60262
216	3	beta1	0	1	0.80261
222	3	gamma3	0	1	0.85848
228	3	beta4	0	1	0.59459
234	3	alpha4	0	1	0.71521
242	3	alpha4	1	1	0.96273
246	3	beta5	0	1	0.81085
252	3	beta2	0	1	0.60334
256	3	gamma4	0	1	0.61093
264	3	gamma2	0	1	0.60302
272	3	beta3	0	1	0.69483
276	3	gamma1	0	1	0.7472
284	3	alpha2	0	1	0.66335
288	3	gamma4	0	1	0.70747
294	3	beta5	0	1	0.59581
298	3	gamma2	0	1	0.62006
304	3	alpha3	0	1	0.67598
308	3	beta2	0	1	0.66819
314	3	gamma3	0	1	0.73974
320	3	alpha4	0	1	0.60409
326	3	gamma5	0	1	0.61228
332	3	beta4	0	1	0.63596
338	3	alpha5	0	1	0.71641
346	3	beta1	0	1	0.64308
350	3	beta3	0	1	0.81211
356	3	alpha1	0	1	0.75672
364	3	gamma1	0	1	0.52249
