onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma5	0	1	0.38513
18	3	beta2	0	1	0.76875
24	3	beta3	0	1	0.88102
28	3	beta3	1	1	0.79302
32	3	beta1	0	1	0.74497
38	3	alpha3	0	1	0.70547
42	3	beta5	0	1	0.81722
46	3	alpha4	0	1	0.74548
52	3	alpha1	0	1	0.65729
58	3	gamma1	0	1	0.67335
64	3	gamma4	0	1	0.63381
68	3	gamma2	0	1	0.80978
72	3	alpha2	0	1	0.73724
78	3	alpha5	0	1	0.72936
86	3	beta4	0	1	0.71388
90	3	gamma3	0	1	0.68951
94	3	gamma4	0	1	0.64184
98	3	gamma1	0	1	1.2102
104	3	alpha3	0	1	0.85805
110	3	alpha2	0	1	0.7784
118	3	alpha5	0	1	0.70609
124	3	alpha4	0	1	0.67423
130	3	gamma3	0	1	0.57007
136	3	gamma2	0	1	0.73838
144	3	beta5	0	1	0.62673
150	3	beta4	0	1	0.95422
156	3	beta2	0	1	0.77093
164	3	gamma5	0	1	0.64286
170	3	alpha1	0	1	0.8987
174	3	beta1	0	1	0.70708
178	3	beta3	0	1	0.88294
184	3	alpha3	0	1	0.61913
192	3	beta4	0	1	0.74719
196	3	beta2	0	1	0.71532
202	3	alpha1	0	1	0.60332
208	3	gamma5	0	1	0.61954
214	3	alpha5	0	1	0.76339
218	3	alpha5	1	1	0.49927
224	3	gamma2	0	1	0.51527
232	3	alpha2	0	1	0.6434
238	3	beta3	0	1	0.51588
244	3	beta5	0	1	0.6996
252	3	gamma3	0	1	0.5879
256	3	beta1	0	1	0.59583
264	3	gamma1	0	1	0.60419
270	3	alpha4	0	1	0.82806
274	3	gamma4	0	1	0.70001
280	3	beta3	0	1	0.72436
284	3	beta5	0	1	0.70866
288	3	beta5	1	1	1.1563
296	3	beta2	0	1	0.59614
300	3	gamma3	0	1	0.62874
304	3	alpha2	0	1	0.73274
308	3	alpha3	0	1	0.58901
312	3	gamma1	0	1	0.66096
320	3	alpha1	0	1	0.51651
324	3	gamma5	0	1	0.525
328	3	beta4	0	1	0.59681
336	3	beta1	0	1	0.60492
340	3	alpha4	0	1	0.70086
346	3	alpha4	1	1	0.76516
350	3	alpha5	0	1	0.55739
358	3	gamma2	0	1	0.733
364	3	gamma4	0	1	0.62964
