onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha3	0	1	0.43641
18	3	beta4	0	1	0.54829
24	3	beta1	0	1	0.81382
32	3	gamma5	0	1	0.58059
36	3	alpha1	0	1	0.6683
42	3	gamma3	0	1	0.53288
50	3	gamma3	1	1	1.0687
54	3	alpha2	0	1	0.67649
58	3	beta2	0	1	0.69286
64	3	alpha4	0	1	0.56514
72	3	beta3	0	1	0.58128
78	3	beta5	0	1	0.73295
84	3	gamma4	0	1	0.71709
88	3	gamma2	0	1	0.71691
92	3	alpha5	0	1	0.74159
96	3	gamma1	0	1	0.86964
100	3	gamma4	0	1	0.79748
104	3	beta4	0	1	0.67756
110	3	gamma5	0	1	0.67768
114	3	alpha5	0	1	0.61363
118	3	beta3	0	1	0.70943
122	3	gamma1	0	1	0.56558
128	3	beta1	0	1	0.61358
132	3	alpha1	0	1	0.73402
138	3	beta2	0	1	0.62188
142	3	alpha2	0	1	0.6778
148	3	gamma3	0	1	0.67872
154	3	alpha4	0	1	0.59002
158	3	alpha3	0	1	0.59827
164	3	beta5	0	1	0.83819
172	3	gamma2	0	1	0.66264
180	3	gamma5	0	1	0.58248
186	3	alpha5	0	1	0.63055
192	3	gamma3	0	1	0.59867
200	3	alpha1	0	1	0.5185
206	3	alpha1	1	1	1.223
212	3	gamma4	0	1	0.58292
216	3	alpha3	0	1	0.86272
224	3	gamma2	0	1	0.69485
230	3	beta3	0	1	0.67113
236	3	beta4	0	1	0.63136
240	3	beta1	0	1	0.95121
244	3	beta2	0	1	1.1352
248	3	alpha4	0	1	0.95923
254	3	beta5	0	1	0.63904
260	3	gamma1	0	1	0.8555
266	3	alpha2	0	1	0.91979
272	3	beta3	0	1	0.75156
278	3	alpha1	0	1	0.59999
286	3	gamma5	0	1	0.59962
290	3	alpha4	0	1	0.6719
294	3	alpha4	1	1	0.54395
300	3	gamma1	0	1	0.56753
308	3	gamma3	0	1	0.59978
314	3	gamma2	0	1	0.70426
318	3	beta4	0	1	0.80043
326	3	alpha5	0	1	0.68045
330	3	alpha3	0	1	0.86432
338	3	beta5	0	1	1.0804
346	3	beta2	0	1	0.69606
350	3	gamma4	0	1	1.128
356	3	alpha2	0	1	0.88855
364	3	alpha2	1	1	0.91218
368	3	beta1	0	1	0.59181
