onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	2.9116
18	3	beta1	0	1	1.831
24	3	gamma1	0	1	1.2229
30	3	alpha2	0	1	0.99566
34	3	beta4	0	1	1.2436
42	3	gamma5	0	1	1.4758
46	3	gamma3	0	0	1.428
50	3	gamma2	0	1	0.97969
54	3	alpha3	0	1	2.0599
58	3	alpha5	0	0	1.3479
66	3	beta2	0	1	0.9563
70	3	alpha1	0	1	1.5564
78	3	beta5	0	1	1.2835
82	3	gamma4	0	1	1.2842
88	3	alpha4	0	1	1.0355
92	3	alpha3	0	1	1.5004
98	3	beta4	0	1	1.1405
102	3	alpha2	0	1	1.2205
106	3	beta1	0	1	0.95691
112	3	alpha4	0	1	1.1718
116	3	beta2	0	1	1.0363
122	3	gamma1	0	1	1.1087
130	3	alpha5	0	1	1.18
136	3	alpha5	1	0	1.8044
144	3	beta5	0	1	0.97385
148	3	beta3	0	0	1.2444
156	3	alpha1	0	1	0.91689
162	3	gamma4	0	1	0.94873
168	3	gamma4	1	0	1.7866
172	3	gamma2	0	1	2.6847
180	3	gamma5	0	1	1.0825
184	3	gamma3	0	0	1.4849
188	3	beta3	0	1	1.669
192	3	alpha4	0	1	1.3172
200	3	beta2	0	1	1.3143
206	3	gamma4	0	1	1.5417
212	3	alpha2	0	1	1.1958
218	3	beta1	0	1	1.6189
222	3	gamma5	0	1	1.1502
228	3	gamma2	0	1	1.3014
232	3	gamma3	0	1	1.1421
238	3	alpha3	0	1	1.8304
244	3	alpha3	1	0	1.5104
248	3	alpha5	0	1	1.9022
254	3	beta4	0	1	0.92636
262	3	gamma1	0	1	2.2868
268	3	alpha1	0	1	0.92651
272	3	beta5	0	1	1.4705
276	3	beta5	1	1	1.4147
282	3	gamma5	0	1	1.0706
290	3	beta1	0	1	0.77489
296	3	gamma4	0	1	0.93523
302	3	beta3	0	1	0.87113
306	3	beta5	0	0	1.3671
310	3	alpha4	0	1	1.2074
318	3	gamma1	0	1	1.1437
324	3	alpha3	0	1	1.2795
330	3	alpha2	0	1	1.3596
334	3	beta2	0	1	0.99922
342	3	alpha1	0	1	0.99183
350	3	gamma3	0	1	0.97552
356	3	alpha5	0	1	1.7992
362	3	beta4	0	1	1.0318
366	3	gamma2	0	1	1.0644
