onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha1	0	n/a	n/a
14	3	beta4	0	1	0.93417
20	3	gamma5	0	1	1.2618
26	3	gamma3	0	1	1.1022
32	3	gamma2	0	1	1.6221
36	3	beta1	0	1	1.0303
40	3	alpha5	0	1	0.91793
46	3	beta2	0	1	0.88651
52	3	gamma1	0	1	0.95062
56	3	gamma4	0	1	1.1022
60	3	alpha4	0	1	1.0354
64	3	beta3	0	1	0.7428
72	3	beta3	1	0	0.77473
80	3	alpha2	0	1	1.1504
86	3	beta5	0	1	1.0869
94	3	alpha3	0	1	1.1826
98	3	gamma3	0	1	1.0951
104	3	alpha2	0	1	0.74792
110	3	alpha3	0	1	0.89126
114	3	beta3	0	1	1.9268
120	3	beta2	0	1	0.9875
128	3	gamma1	0	1	0.88733
134	3	gamma2	0	1	0.83951
142	3	gamma4	0	1	0.95926
146	3	beta4	0	1	1.0073
154	3	alpha4	0	1	1.7359
158	3	alpha1	0	1	0.88749
166	3	beta5	0	1	1.5761
174	3	alpha5	0	1	1.1761
180	3	beta1	0	1	0.9278
186	3	gamma5	0	1	0.69169
194	3	gamma3	0	1	0.57169
198	3	beta2	0	1	0.66415
204	3	beta2	1	0	0.92047
208	3	alpha4	0	1	1.3767
214	3	alpha1	0	0	1.5846
220	3	alpha2	0	1	1.5042
226	3	alpha5	0	1	1.2168
232	3	alpha3	0	1	0.66495
236	3	gamma2	0	1	0.68113
240	3	gamma5	0	1	0.85667
246	3	beta1	0	1	1.0571
250	3	beta3	0	1	0.71276
254	3	gamma1	0	1	0.90473
260	3	beta4	0	1	0.75303
266	3	beta5	0	1	0.60732
270	3	gamma4	0	1	0.70848
274	3	gamma4	1	0	0.53238
282	3	gamma5	0	1	1.4556
286	3	beta5	0	1	0.58522
292	3	alpha2	0	1	0.89502
300	3	alpha4	0	1	0.67975
306	3	beta3	0	1	0.68698
312	3	gamma2	0	1	0.63984
320	3	beta4	0	1	0.93753
326	3	alpha3	0	1	0.89756
330	3	alpha1	0	1	0.98621
336	3	beta2	0	1	0.65535
344	3	gamma4	0	1	0.58535
348	3	beta1	0	1	1.5785
352	3	beta1	1	0	0.65864
356	3	gamma1	0	1	0.80205
360	3	alpha5	0	1	1.3782
364	3	gamma3	0	1	1.0982
