onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	1	0.66936
16	3	alpha3	0	1	0.74938
22	3	gamma4	0	1	0.68561
28	3	gamma5	0	1	1.3577
32	3	alpha5	0	1	1.0534
36	3	beta1	0	1	1.1815
44	3	gamma3	0	1	0.74147
50	3	gamma1	0	1	1.0538
56	3	beta5	0	1	0.7016
60	3	beta3	0	1	0.75785
64	3	gamma2	0	1	0.61418
68	3	alpha1	0	1	0.76572
72	3	alpha1	1	1	1.5579
80	3	beta4	0	1	0.83
84	3	beta2	0	1	0.70987
92	3	alpha4	0	1	0.84636
100	3	gamma4	0	1	0.68613
108	3	alpha1	0	1	0.69484
116	3	beta5	0	1	0.96441
120	3	alpha3	0	1	0.90232
126	3	alpha2	0	1	0.90281
130	3	gamma5	0	1	0.95868
134	3	gamma1	0	1	0.99098
138	3	beta1	0	1	1.367
144	3	beta1	1	1	1.0848
150	3	beta3	0	1	1.1645
158	3	alpha5	0	1	0.68703
162	3	gamma2	0	1	0.70109
168	3	gamma2	1	1	1.1436
176	3	alpha4	0	1	0.74025
180	3	beta2	0	1	0.69531
184	3	beta4	0	1	0.86347
190	3	gamma3	0	1	0.70214
196	3	gamma5	0	1	1.0771
200	3	beta1	0	1	1.0237
204	3	alpha5	0	1	0.9595
208	3	alpha4	0	1	0.73602
214	3	gamma3	0	1	0.65395
222	3	beta3	0	1	0.816
228	3	alpha1	0	1	0.67219
234	3	gamma2	0	1	0.85587
240	3	beta5	0	1	0.68832
244	3	beta2	0	1	0.70229
248	3	alpha3	0	1	0.77404
256	3	alpha2	0	1	1.0406
260	3	beta4	0	1	0.82467
266	3	gamma4	0	1	0.72573
272	3	gamma1	0	1	2.0643
278	3	alpha4	0	1	1.0567
282	3	gamma3	0	1	0.97511
288	3	alpha1	0	1	0.7608
296	3	alpha5	0	1	1.1289
300	3	beta3	0	1	0.68911
306	3	gamma5	0	1	0.80877
310	3	beta1	0	1	1.1689
314	3	gamma2	0	1	0.80561
320	3	beta2	0	1	0.68093
326	3	gamma1	0	1	0.76148
330	3	beta4	0	1	0.92109
336	3	beta5	0	1	1.8972
342	3	gamma4	0	1	1.0892
350	3	gamma4	1	1	1.5934
358	3	alpha2	0	1	0.67377
366	3	alpha3	0	1	1.4816
