onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	1	1.2414
16	3	alpha1	0	1	1.5199
22	3	gamma5	0	1	0.76808
28	3	beta5	0	1	0.63225
32	3	alpha5	0	1	0.68958
40	3	alpha3	0	1	1.1272
44	3	beta1	0	1	0.73782
50	3	beta2	0	1	1.4239
58	3	gamma3	0	1	0.6561
64	3	gamma3	1	1	1.3434
70	3	alpha4	0	1	0.84139
74	3	beta4	0	1	1.0081
80	3	alpha2	0	1	0.74401
86	3	beta3	0	1	0.79184
90	3	gamma2	0	1	1.1866
96	3	gamma1	0	0	1.0182
104	3	alpha5	0	1	0.88729
110	3	alpha4	0	1	0.79997
116	3	alpha4	1	0	1.0718
122	3	gamma2	0	1	0.67223
126	3	gamma2	1	1	1.4831
130	3	beta2	0	1	0.68289
136	3	gamma3	0	1	0.68379
140	3	gamma5	0	1	1.0483
148	3	gamma1	0	1	0.95189
152	3	alpha2	0	1	0.78707
160	3	alpha1	0	1	0.76709
164	3	beta1	0	1	0.87995
168	3	gamma4	0	1	0.76738
174	3	alpha3	0	1	0.79527
182	3	beta3	0	1	1.1156
188	3	beta5	0	0	1.1079
192	3	beta4	0	0	2.1121
196	3	beta4	1	1	1.1879
200	3	alpha1	0	1	0.93158
204	3	beta5	0	1	1.0355
210	3	gamma5	0	1	0.80361
214	3	beta2	0	1	0.75923
218	3	alpha5	0	1	0.70407
224	3	alpha3	0	1	1.7721
230	3	gamma3	0	1	1.0043
236	3	alpha4	0	1	0.77239
242	3	alpha2	0	1	1.0686
246	3	beta3	0	1	0.88431
254	3	gamma2	0	1	1.0926
262	3	beta1	0	1	0.74829
266	3	beta4	0	0	1.4449
270	3	gamma1	0	1	1.0851
276	3	gamma4	0	1	1.7411
280	3	beta3	0	1	0.70879
288	3	gamma5	0	1	1.0367
294	3	alpha2	0	1	0.78103
298	3	alpha3	0	1	1.309
306	3	gamma3	0	1	0.86896
310	3	beta2	0	1	0.71698
316	3	gamma2	0	1	0.81334
324	3	gamma4	0	1	1.4694
328	3	beta4	0	1	0.73344
336	3	beta1	0	1	0.8138
342	3	alpha1	0	1	0.65362
350	3	beta5	0	1	1.11
354	3	alpha5	0	1	1.054
358	3	gamma1	0	1	1.0378
366	3	alpha4	0	1	0.78976
