onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma5	0	1	1.0059
14	3	gamma5	1	0	1.1869
20	3	gamma4	0	1	0.90744
28	3	gamma1	0	1	1.1246
32	3	gamma3	0	0	1.3805
36	3	beta1	0	1	0.85953
40	3	beta5	0	1	0.97275
48	3	alpha4	0	1	1.3485
54	3	beta2	0	1	0.8691
58	3	beta4	0	1	1.4929
64	3	alpha5	0	1	1.0292
68	3	beta3	0	1	1.1731
72	3	gamma2	0	1	1.3013
80	3	alpha2	0	1	1.045
88	3	alpha3	0	1	2.0216
92	3	alpha1	0	1	2.2534
98	3	gamma3	0	1	1.5973
102	3	gamma4	0	1	1.1815
110	3	beta1	0	1	1.0378
114	3	beta4	0	1	1.2138
118	3	gamma2	0	1	1.294
126	3	beta5	0	1	1.2461
130	3	beta5	1	0	2.2456
136	3	alpha1	0	1	1.1738
142	3	gamma1	0	1	1.1583
146	3	alpha5	0	1	0.76634
150	3	alpha4	0	1	1.5422
158	3	alpha4	1	1	2.3901
164	3	alpha2	0	1	1.6862
168	3	alpha2	1	1	1.3984
176	3	gamma5	0	1	1.3102
182	3	alpha3	0	1	0.79857
188	3	beta3	0	1	1.0305
192	3	beta2	0	1	1.1907
198	3	alpha2	0	1	1.1907
204	3	beta2	0	1	0.88691
212	3	alpha3	0	1	0.91899
218	3	gamma4	0	1	1.1909
226	3	beta5	0	1	0.99904
232	3	alpha1	0	1	1.1035
236	3	gamma1	0	1	1.1914
240	3	beta4	0	1	0.79954
244	3	beta3	0	1	1.0944
248	3	alpha4	0	1	1.7512
254	3	beta1	0	1	0.69543
260	3	gamma5	0	1	1.3674
266	3	gamma3	0	1	1.4314
272	3	gamma2	0	1	0.96756
278	3	alpha5	0	1	0.76801
284	3	alpha2	0	1	1.1198
290	3	beta5	0	1	1.0078
296	3	gamma3	0	1	1.4401
300	3	gamma5	0	1	1.5439
304	3	beta1	0	1	1.0239
310	3	gamma4	0	1	1.0475
314	3	alpha4	0	1	1.072
318	3	beta4	0	1	1.4163
326	3	alpha3	0	1	1.1123
334	3	beta3	0	1	1.2488
340	3	alpha5	0	1	1.7928
346	3	alpha1	0	1	1.3844
354	3	gamma1	0	1	1.3681
358	3	beta2	0	1	2.1767
366	3	gamma2	0	1	1.1527
