onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha1	0	1	1.0251
14	3	gamma3	0	1	1.057
22	3	beta4	0	1	1.1295
28	3	alpha2	0	1	0.8017
36	3	gamma4	0	1	1.3773
40	3	gamma2	0	1	1.7773
46	3	beta5	0	1	1.5779
50	3	alpha5	0	1	1.5619
54	3	alpha5	1	1	1.2738
58	3	gamma5	0	1	1.37
66	3	beta2	0	1	1.1939
72	3	beta3	0	1	1.6659
76	3	beta1	0	1	1.4822
82	3	gamma1	0	1	1.0901
88	3	alpha4	0	1	2.0581
94	3	alpha3	0	1	1.186
100	3	beta2	0	1	0.84258
104	3	alpha1	0	1	1.1705
112	3	gamma4	0	1	0.91448
118	3	alpha4	0	1	0.96299
122	3	alpha4	1	1	1.6825
128	3	beta1	0	1	1.4668
136	3	alpha2	0	1	1.0187
140	3	gamma1	0	1	0.89058
146	3	gamma3	0	1	1.2986
150	3	alpha5	0	1	1.1711
156	3	beta4	0	1	0.72343
162	3	gamma2	0	1	1.0755
170	3	alpha3	0	1	1.107
174	3	beta5	0	1	1.259
182	3	gamma5	0	1	0.69953
190	3	beta3	0	1	1.6994
194	3	alpha2	0	1	1.6196
202	3	gamma4	0	1	1.1476
208	3	gamma2	0	1	1.036
214	3	beta1	0	1	1.4202
218	3	beta2	0	1	1.22
224	3	alpha1	0	1	1.2681
230	3	gamma3	0	1	1.2436
234	3	beta5	0	1	1.3482
240	3	beta5	1	0	1.0599
246	3	beta3	0	1	1.476
252	3	gamma5	0	1	0.80447
258	3	beta4	0	1	0.7887
262	3	gamma1	0	1	1.0204
266	3	alpha3	0	1	1.3408
272	3	alpha4	0	1	1.2049
276	3	alpha5	0	0	1.5563
284	3	alpha5	1	0	1.1567
288	3	beta4	0	1	1.8689
292	3	gamma4	0	1	0.68514
298	3	beta1	0	1	1.7326
302	3	alpha4	0	1	0.8368
308	3	alpha2	0	1	1.2768
312	3	gamma1	0	1	0.96488
316	3	alpha3	0	1	1.1653
320	3	gamma5	0	1	1.2289
328	3	alpha1	0	1	1.3016
334	3	alpha5	0	0	1.4537
340	3	beta3	0	1	0.96558
348	3	beta5	0	0	1.6538
352	3	beta2	0	1	2.2455
360	3	gamma2	0	1	1.1094
364	3	gamma3	0	1	1.6939
