onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	n/a	n/a
14	3	beta2	0	1	0.739
18	3	alpha3	0	1	1.1232
24	3	gamma4	0	1	0.6671
28	3	gamma2	0	1	0.61127
32	3	alpha4	0	1	0.66765
40	3	gamma5	0	1	0.64115
46	3	alpha5	0	1	0.83564
50	3	gamma3	0	1	0.7156
58	3	alpha1	0	1	0.68091
64	3	gamma1	0	1	0.63317
68	3	beta1	0	1	0.59605
76	3	beta5	0	1	1.0511
80	3	beta3	0	1	1.0682
84	3	alpha2	0	1	1.252
90	3	gamma5	0	1	0.53706
96	3	gamma5	1	1	1.2735
100	3	alpha5	0	1	0.66013
104	3	alpha4	0	1	1.1403
110	3	alpha2	0	1	0.83591
116	3	alpha2	1	1	0.82075
122	3	gamma4	0	1	0.64493
126	3	alpha3	0	1	0.98037
132	3	beta3	0	1	0.70777
138	3	beta3	1	1	1.0371
144	3	alpha1	0	1	0.62915
148	3	beta1	0	1	0.67727
156	3	gamma3	0	1	0.82013
160	3	beta5	0	1	0.67721
164	3	gamma1	0	1	1.1169
170	3	beta2	0	1	0.70943
176	3	gamma2	0	1	0.69314
182	3	beta4	0	1	0.66961
188	3	alpha5	0	1	0.74141
196	3	gamma5	0	1	0.58149
200	3	gamma2	0	1	1.4933
206	3	alpha4	0	1	0.66971
210	3	beta2	0	1	0.72581
218	3	beta1	0	1	0.52574
222	3	beta4	0	1	0.71783
230	3	beta5	0	1	0.7498
234	3	gamma1	0	1	0.72578
242	3	beta3	0	1	0.9263
250	3	alpha1	0	1	0.58234
254	3	gamma4	0	1	0.57424
260	3	alpha3	0	1	0.68649
264	3	alpha3	1	1	0.76659
268	3	alpha2	0	1	0.71839
274	3	gamma3	0	1	0.65484
280	3	beta5	0	1	0.55878
286	3	alpha2	0	1	0.68651
294	3	gamma2	0	1	0.57502
300	3	alpha5	0	1	0.63925
308	3	alpha4	0	1	0.71367
316	3	gamma4	0	1	0.73834
320	3	beta3	0	1	0.73491
324	3	gamma5	0	1	0.76739
330	3	beta2	0	1	0.85866
338	3	gamma1	0	1	0.61552
344	3	beta4	0	1	0.63983
348	3	beta1	0	1	0.66374
354	3	alpha1	0	1	0.68753
360	3	gamma3	0	1	0.5515
364	3	alpha3	0	1	0.66383
