onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	n/a	n/a
14	3	beta2	0	1	0.76245
18	3	alpha3	0	1	0.75471
24	3	gamma4	0	1	0.6751
28	3	gamma2	0	1	0.79486
32	3	alpha4	0	1	0.64275
40	3	gamma5	0	1	0.8393
46	3	alpha5	0	1	0.65463
50	3	gamma3	0	1	0.77106
58	3	alpha1	0	1	0.62747
64	3	gamma1	0	1	0.68687
68	3	beta1	0	1	0.63527
76	3	beta5	0	1	0.98378
80	3	beta3	0	1	0.9715
84	3	alpha2	0	1	0.78787
90	3	gamma5	0	1	0.62768
96	3	gamma5	1	1	1.2357
100	3	alpha5	0	1	0.6035
104	3	alpha4	0	1	0.68377
110	3	alpha2	0	1	0.77207
116	3	alpha2	1	1	0.79633
122	3	gamma4	0	1	0.46016
126	3	alpha3	0	1	0.82808
132	3	beta3	0	1	0.52425
138	3	beta3	1	1	1.0284
144	3	alpha1	0	1	0.52436
148	3	beta1	0	1	0.72473
156	3	gamma3	0	1	0.74052
160	3	beta5	0	1	1.0044
164	3	gamma1	0	1	0.72469
170	3	beta2	0	1	0.65252
176	3	gamma2	0	1	0.74102
182	3	beta4	0	1	0.64493
188	3	alpha5	0	1	0.78111
196	3	gamma5	0	1	0.58932
200	3	gamma2	0	1	0.90926
206	3	alpha4	0	1	0.59698
210	3	beta2	0	1	0.60548
218	3	beta1	0	1	0.61323
222	3	beta4	0	1	0.80598
230	3	beta5	0	1	0.76542
234	3	gamma1	0	1	0.68546
242	3	beta3	0	1	0.77392
250	3	alpha1	0	1	0.726
254	3	gamma4	0	1	0.65372
260	3	alpha3	0	1	0.68575
264	3	alpha3	1	1	0.70213
268	3	alpha2	0	1	0.66987
274	3	gamma3	0	1	1.0011
280	3	beta5	0	1	0.93446
286	3	alpha2	0	1	0.60609
294	3	gamma2	0	1	0.61412
300	3	alpha5	0	1	0.64639
308	3	alpha4	0	0	1.458
316	3	gamma4	0	1	0.68203
320	3	beta3	0	1	0.91082
324	3	gamma5	0	1	0.65458
330	3	beta2	0	1	0.7629
338	3	gamma1	0	1	0.59068
344	3	beta4	0	1	0.67077
348	3	beta1	0	1	0.6471
354	3	alpha1	0	1	0.65504
360	3	gamma3	0	1	0.56324
364	3	alpha3	0	1	1.5515
