onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma2	0	n/a	n/a
14	3	alpha1	0	1	0.74383
22	3	alpha5	0	1	0.50416
26	3	alpha5	1	1	0.7839
34	3	alpha3	0	1	0.64709
42	3	gamma5	0	1	0.82358
48	3	alpha2	0	1	0.67199
56	3	alpha2	1	1	1.192
62	3	gamma1	0	1	1.0641
68	3	gamma3	0	0	0.9604
74	3	alpha4	0	1	0.88036
78	3	beta4	0	1	0.82414
84	3	beta4	1	1	1.0803
92	3	beta2	0	1	0.84827
96	3	gamma4	0	1	0.92865
104	3	beta1	0	1	0.8239
110	3	beta3	0	1	1.312
116	3	beta5	0	1	1.1531
122	3	gamma5	0	1	0.98478
128	3	alpha1	0	1	0.95159
134	3	gamma3	0	1	1.0004
142	3	gamma1	0	1	0.88791
146	3	beta3	0	1	0.91996
150	3	alpha5	0	1	0.96796
154	3	beta1	0	1	0.96767
158	3	gamma4	0	1	1.0398
166	3	gamma2	0	1	0.8877
172	3	alpha2	0	1	0.88721
178	3	beta2	0	1	1.1508
182	3	alpha4	0	1	1.0896
186	3	alpha3	0	1	1.0576
190	3	beta4	0	1	0.98566
194	3	beta5	0	1	0.67361
200	3	alpha2	0	1	0.91927
208	3	alpha2	1	1	1.8738
214	3	gamma5	0	1	0.97848
218	3	beta4	0	1	0.84992
224	3	beta2	0	1	1.1541
232	3	alpha5	0	1	1.0021
238	3	beta1	0	1	0.91448
244	3	gamma3	0	1	1.0908
248	3	beta5	0	1	0.98634
252	3	gamma1	0	1	1.0989
260	3	alpha3	0	1	1.0108
266	3	alpha4	0	1	0.85113
270	3	beta3	0	1	1.027
276	3	alpha1	0	1	1.3873
280	3	gamma2	0	1	1.3467
284	3	gamma4	0	1	1.1068
292	3	alpha3	0	1	1.0113
298	3	beta2	0	1	1.0036
304	3	beta3	0	1	0.77942
312	3	alpha1	0	1	0.99566
318	3	gamma5	0	1	1.1798
324	3	gamma3	0	1	0.96769
328	3	alpha5	0	1	1.1478
334	3	gamma4	0	1	0.99598
340	3	beta5	0	1	1.404
344	3	gamma2	0	1	0.9715
348	3	alpha2	0	1	0.96414
352	3	beta1	0	1	0.93155
360	3	gamma1	0	1	0.9482
364	3	beta4	0	1	0.92393
368	3	alpha4	0	1	0.92434
