onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	1	0.7322
14	3	gamma5	0	1	0.65994
22	3	gamma5	1	0	0.70011
26	3	gamma1	0	1	0.60465
32	3	gamma2	0	1	0.86811
38	3	gamma4	0	1	0.87617
42	3	gamma4	1	1	1.0528
46	3	alpha1	0	1	1.0523
50	3	beta5	0	1	0.87669
56	3	beta4	0	1	0.71665
60	3	alpha5	0	1	0.86062
68	3	alpha4	0	1	0.965
76	3	alpha3	0	1	0.74105
82	3	gamma3	0	1	1.0926
88	3	alpha2	0	1	0.78112
94	3	beta1	0	1	0.97229
102	3	beta3	0	0	1.2443
108	3	gamma5	0	1	0.8295
114	3	gamma2	0	1	1.3085
120	3	alpha3	0	1	0.80481
126	3	beta2	0	1	0.85318
132	3	alpha1	0	1	1.1892
136	3	alpha5	0	1	1.2293
142	3	beta1	0	1	0.72533
150	3	beta5	0	1	1.2535
158	3	beta3	0	1	0.92624
164	3	gamma3	0	1	0.7811
168	3	gamma1	0	0	1.0614
172	3	alpha2	0	1	0.7335
176	3	beta4	0	1	0.82973
182	3	alpha4	0	1	0.9816
186	3	gamma4	0	n/a	n/a
190	3	alpha3	0	1	0.57389
194	3	alpha4	0	1	0.86204
198	3	gamma4	0	1	0.70201
204	3	gamma5	0	1	0.7987
212	3	gamma5	1	1	1.0147
220	3	alpha5	0	1	0.72593
228	3	alpha2	0	1	0.91095
232	3	gamma3	0	1	0.87106
236	3	alpha1	0	1	1.127
240	3	gamma1	0	1	0.71023
244	3	beta1	0	1	0.74307
248	3	beta4	0	1	1.4634
252	3	beta3	0	1	0.83105
260	3	beta3	1	1	1.0951
264	3	beta2	0	1	0.95097
272	3	beta5	0	1	0.59165
280	3	gamma2	0	1	1.0557
286	3	beta4	0	1	0.64684
290	3	alpha5	0	1	0.7752
296	3	beta1	0	1	0.69542
302	3	beta2	0	1	0.79204
308	3	beta3	0	1	0.63982
314	3	gamma2	0	1	0.74368
322	3	alpha2	0	1	0.68803
328	3	alpha1	0	1	0.75241
332	3	gamma3	0	1	0.74438
338	3	gamma4	0	1	0.93619
344	3	gamma1	0	0	1.1754
348	3	alpha4	0	1	0.70375
352	3	gamma5	0	1	0.97684
358	3	beta5	0	1	0.7599
366	3	alpha3	0	1	0.82372
