onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	1	0.57842
14	3	gamma2	0	1	0.69014
18	3	alpha4	0	1	0.61801
24	3	gamma1	0	1	0.6827
30	3	gamma5	0	1	0.88173
36	3	gamma4	0	1	0.81075
40	3	alpha1	0	1	0.78806
48	3	beta1	0	1	0.80282
52	3	alpha2	0	1	0.73044
60	3	alpha2	1	1	1.3389
66	3	beta5	0	1	0.98612
70	3	alpha5	0	1	0.86652
74	3	alpha3	0	1	1.1153
80	3	beta2	0	1	1.4181
86	3	beta3	0	1	1.7793
94	3	gamma3	0	1	1.5715
98	3	gamma5	0	1	1.299
106	3	alpha3	0	1	0.67236
114	3	gamma4	0	1	0.68352
122	3	alpha2	0	1	0.71538
126	3	gamma2	0	1	0.74764
132	3	alpha5	0	1	1.0968
138	3	beta1	0	1	1.6597
142	3	alpha4	0	1	0.8281
146	3	gamma3	0	1	0.68398
150	3	alpha1	0	1	0.61181
156	3	beta2	0	1	0.59327
160	3	beta3	0	1	0.71612
168	3	beta5	0	1	0.70852
172	3	gamma1	0	1	0.70002
180	3	beta4	0	1	0.72464
184	3	gamma5	0	1	0.8686
188	3	beta1	0	1	1.3166
194	3	alpha5	0	1	0.55688
200	3	alpha1	0	1	1.6284
208	3	alpha4	0	1	1.5007
214	3	alpha4	1	1	0.98908
220	3	gamma2	0	1	0.72514
224	3	alpha3	0	1	1.1808
230	3	beta2	0	1	0.89308
234	3	gamma3	0	1	0.86141
240	3	gamma1	0	0	1.3411
244	3	beta4	0	1	0.63723
250	3	gamma4	0	1	0.74126
256	3	alpha2	0	1	1.5892
260	3	beta5	0	1	1.0935
268	3	beta3	0	1	1.1093
274	3	alpha3	0	1	0.79759
280	3	beta5	0	1	1.254
286	3	gamma1	0	1	0.8962
294	3	beta2	0	1	1.0619
298	3	gamma4	0	1	0.83811
302	3	alpha1	0	1	1.4538
308	3	alpha5	0	0	2.3498
312	3	alpha2	0	1	1.7424
320	3	alpha4	0	1	1.518
326	3	gamma3	0	1	0.70258
330	3	beta1	0	1	1.2787
338	3	beta3	0	1	0.8468
344	3	beta3	1	0	0.66252
350	3	gamma5	0	1	1.0787
358	3	gamma5	1	1	1.0471
362	3	gamma2	0	1	0.83864
366	3	beta4	0	1	1.3828
