onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha1	0	1	0.91988
18	3	beta2	0	1	0.98409
22	3	gamma4	0	1	1.1761
28	3	gamma3	0	1	0.88765
32	3	alpha3	0	1	0.95966
38	3	beta1	0	1	1.048
44	3	gamma1	0	1	1.04
52	3	beta3	0	1	0.8322
60	3	alpha2	0	1	0.81524
64	3	alpha5	0	1	1.0487
72	3	alpha4	0	1	0.95236
80	3	beta5	0	1	0.89635
86	3	gamma5	0	1	0.847
92	3	gamma2	0	1	0.89444
96	3	beta4	0	1	0.92871
104	3	alpha2	0	1	1.0944
108	3	beta3	0	1	1.041
114	3	beta3	1	1	0.89523
118	3	gamma1	0	1	0.97713
124	3	gamma4	0	1	1.5113
128	3	alpha4	0	1	1.3929
136	3	beta1	0	1	1.5905
140	3	beta4	0	1	0.96913
144	3	beta2	0	1	1.9056
148	3	alpha1	0	1	1.5936
152	3	alpha3	0	1	1.2817
156	3	beta5	0	1	1.3696
162	3	gamma3	0	1	1.3458
168	3	gamma2	0	1	1.0708
174	3	gamma5	0	1	1.0633
182	3	alpha5	0	1	1.3348
188	3	gamma5	0	1	1.0947
194	3	gamma4	0	1	1.0161
202	3	alpha3	0	1	1.4322
206	3	gamma2	0	1	1.0741
210	3	beta1	0	1	1.282
218	3	alpha5	0	1	1.1678
224	3	gamma1	0	1	1.8944
228	3	alpha1	0	1	1.6184
232	3	alpha2	0	1	1.3222
240	3	beta3	0	1	0.9838
246	3	beta2	0	1	0.79444
250	3	gamma3	0	1	0.93104
254	3	alpha4	0	1	1.6185
260	3	beta4	0	1	1.3308
268	3	beta4	1	1	1.0159
272	3	beta5	0	1	1.555
278	3	beta4	0	1	1.0719
282	3	gamma1	0	1	1.7788
288	3	alpha2	0	1	1.4801
292	3	gamma4	0	1	1.6596
298	3	alpha1	0	1	1.1435
302	3	beta2	0	1	1.1792
308	3	beta5	0	1	0.81919
314	3	beta3	0	1	1.2434
320	3	beta1	0	1	1.0835
328	3	beta1	1	1	1.5078
334	3	gamma3	0	1	0.96046
340	3	alpha3	0	1	1.0841
344	3	gamma5	0	1	1.5156
350	3	gamma2	0	1	1.004
354	3	gamma2	1	1	1.1642
358	3	alpha4	0	1	1.1161
366	3	alpha5	0	1	1.0203
