onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma3	0	n/a	n/a
14	3	beta2	0	1	1.604
20	3	alpha1	0	n/a	n/a
24	3	beta1	0	1	0.69975
28	3	gamma2	0	n/a	n/a
34	3	alpha2	0	1	0.99972
42	3	beta5	0	n/a	n/a
48	3	alpha4	0	1	1.2392
52	3	beta4	0	n/a	n/a
60	3	gamma1	0	1	0.87615
64	3	beta3	0	n/a	n/a
72	3	gamma4	0	1	0.80441
78	3	alpha3	0	n/a	n/a
84	3	gamma5	0	1	0.98025
88	3	alpha5	0	n/a	n/a
94	3	beta5	0	1	0.91689
100	3	gamma1	0	n/a	n/a
108	3	beta4	0	1	0.99706
112	3	alpha5	0	n/a	n/a
120	3	beta2	0	1	1.0047
128	3	alpha4	0	n/a	n/a
132	3	alpha1	0	1	1.8849
138	3	gamma5	0	n/a	n/a
144	3	beta3	0	1	0.9175
152	3	gamma2	0	n/a	n/a
160	3	alpha3	0	1	0.75724
166	3	alpha2	0	n/a	n/a
172	3	gamma3	0	1	1.0138
178	3	gamma4	0	n/a	n/a
182	3	beta1	0	1	0.91711
186	3	beta1	1	n/a	n/a
190	3	beta3	0	1	0.9014
198	3	alpha5	0	n/a	n/a
202	3	gamma3	0	1	1.0452
206	3	alpha3	0	n/a	n/a
212	3	beta1	0	1	0.79791
216	3	beta1	1	n/a	n/a
222	3	gamma1	0	1	0.86218
228	3	beta4	0	n/a	n/a
234	3	alpha2	0	1	0.95861
238	3	gamma2	0	n/a	n/a
242	3	beta5	0	1	0.79805
250	3	gamma4	0	n/a	n/a
256	3	alpha1	0	1	0.93483
262	3	beta2	0	n/a	n/a
268	3	beta2	1	1	0.94264
272	3	alpha4	0	n/a	n/a
280	3	gamma5	0	1	0.86333
284	3	gamma2	0	n/a	n/a
290	3	alpha2	0	1	0.84704
294	3	beta3	0	n/a	n/a
298	3	beta2	0	1	0.96692
302	3	beta5	0	n/a	n/a
308	3	beta5	1	1	1.0485
316	3	alpha4	0	n/a	n/a
324	3	alpha3	0	1	0.93588
328	3	gamma1	0	n/a	n/a
334	3	alpha1	0	1	1.0477
340	3	gamma4	0	n/a	n/a
344	3	beta1	0	1	1.1277
350	3	alpha5	0	n/a	n/a
356	3	gamma5	0	1	1.0643
360	3	beta4	0	n/a	n/a
364	3	gamma3	0	1	1.4241
