onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	0.791
16	3	gamma4	0	1	0.8631
20	3	alpha3	0	1	1.1032
26	3	alpha2	0	1	0.85512
32	3	beta4	0	1	1.4149
38	3	beta5	0	1	1.207
42	3	beta5	1	1	0.88711
48	3	gamma5	0	1	1.3351
52	3	beta2	0	1	0.9911
58	3	alpha1	0	1	0.79107
66	3	gamma2	0	1	0.75944
72	3	gamma2	1	1	1.4556
76	3	alpha4	0	1	1.2878
80	3	alpha5	0	1	1.0917
88	3	gamma1	0	1	0.85592
92	3	gamma3	0	1	0.85598
96	3	beta1	0	1	1.5121
100	3	gamma3	0	1	0.84815
106	3	alpha5	0	1	1.2637
114	3	beta2	0	1	0.8798
118	3	beta3	0	1	0.8645
124	3	beta1	0	1	1.0556
128	3	gamma5	0	1	1.296
136	3	alpha4	0	1	0.74437
144	3	gamma4	0	1	0.9688
150	3	gamma1	0	1	1.4083
156	3	alpha3	0	1	0.72078
164	3	alpha2	0	1	1.9928
170	3	beta4	0	1	0.82496
178	3	gamma2	0	1	1.1766
182	3	beta5	0	1	0.95273
190	3	alpha1	0	1	0.83339
196	3	alpha1	1	1	1.6175
202	3	beta5	0	1	0.76849
208	3	beta5	1	1	2.0248
212	3	alpha2	0	1	0.84122
216	3	gamma3	0	1	0.76155
222	3	beta3	0	1	0.93778
228	3	alpha5	0	1	0.8973
232	3	alpha1	0	1	1.2896
236	3	alpha4	0	0	1.2576
240	3	alpha3	0	1	0.80967
244	3	gamma5	0	1	0.99386
250	3	beta1	0	1	1.4576
258	3	beta4	0	1	1.2164
262	3	gamma2	0	1	1.0178
268	3	gamma4	0	1	0.8407
276	3	gamma1	0	1	1.6812
284	3	beta2	0	1	0.92163
292	3	beta5	0	1	0.93706
296	3	gamma1	0	1	1.1462
302	3	gamma5	0	1	1.8561
306	3	gamma3	0	1	1.0904
310	3	alpha5	0	1	1.4985
316	3	alpha4	0	1	1.1051
322	3	beta1	0	1	0.95262
328	3	alpha1	0	1	0.94503
336	3	beta3	0	1	0.94476
340	3	beta4	0	1	1.595
348	3	beta2	0	1	1.4808
352	3	alpha2	0	1	0.88329
356	3	gamma2	0	1	0.87525
362	3	alpha3	0	1	1.1208
368	3	gamma4	0	1	1.0884
