onset	duration	item	repeat	accuracy	reaction_time
10	3	beta5	0	n/a	n/a
16	3	gamma4	0	1	1.2722
24	3	gamma2	0	1	1.3282
32	3	alpha1	0	1	0.77584
36	3	alpha4	0	0	1.1797
40	3	alpha3	0	1	1.3482
48	3	alpha2	0	1	0.99251
52	3	gamma3	0	1	0.94296
56	3	gamma5	0	1	1.0233
62	3	alpha5	0	1	0.95937
68	3	beta4	0	1	0.93222
72	3	beta3	0	1	0.97996
76	3	beta1	0	1	1.1641
82	3	beta1	1	1	1.1005
86	3	beta2	0	1	1.7117
90	3	gamma1	0	1	0.95653
96	3	gamma2	0	0	0.98876
102	3	alpha5	0	1	0.71257
110	3	gamma5	0	1	1.0525
118	3	gamma5	1	1	1.7646
124	3	gamma3	0	1	1.0608
132	3	beta5	0	1	1.1092
140	3	gamma4	0	1	1.1095
146	3	alpha1	0	1	1.1412
150	3	beta3	0	1	1.5011
154	3	alpha4	0	1	1.5731
160	3	beta1	0	1	1.2935
164	3	gamma1	0	1	1.4457
172	3	beta2	0	1	1.3175
176	3	beta4	0	1	1.4613
182	3	alpha2	0	1	1.2456
186	3	alpha3	0	1	1.1735
190	3	alpha3	1	1	1.5339
196	3	gamma2	0	1	1.3579
200	3	gamma1	0	1	1.0461
204	3	alpha3	0	1	1.358
210	3	gamma3	0	1	1.3339
216	3	alpha4	0	1	1.2781
220	3	beta2	0	1	1.3583
226	3	beta1	0	1	1.0221
230	3	gamma5	0	1	1.2067
236	3	beta4	0	1	1.0066
244	3	alpha2	0	1	0.99039
250	3	alpha1	0	1	0.98229
256	3	beta3	0	1	0.91847
264	3	beta3	1	1	1.0547
268	3	alpha5	0	1	1.1426
274	3	gamma4	0	1	1.199
280	3	beta5	0	1	1.2068
288	3	alpha4	0	1	1.0233
292	3	alpha1	0	1	1.9112
298	3	beta2	0	1	1.3995
306	3	gamma1	0	1	1.2475
312	3	gamma2	0	1	1.2152
318	3	gamma3	0	1	1.2795
326	3	gamma4	0	1	1.2879
332	3	alpha5	0	1	1.4074
336	3	beta4	0	1	1.1276
340	3	beta3	0	1	1.272
346	3	alpha2	0	1	1.0796
354	3	alpha3	0	1	0.92806
358	3	beta1	0	1	1.2483
362	3	beta5	0	1	1.3518
366	3	gamma5	0	1	1.3761
