onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha1	0	1	0.70635
14	3	gamma5	0	1	0.81818
22	3	beta1	0	1	0.90662
30	3	gamma2	0	1	0.80262
38	3	gamma3	0	1	1.3864
42	3	beta3	0	1	0.95457
50	3	beta5	0	1	1.0908
56	3	gamma4	0	1	0.89108
64	3	gamma1	0	1	1.0107
70	3	beta2	0	1	0.86686
78	3	alpha5	0	1	0.87487
84	3	alpha2	0	1	1.0189
92	3	alpha3	0	1	0.91546
98	3	alpha4	0	1	1.2914
102	3	beta4	0	1	0.87507
108	3	gamma4	0	1	0.88341
112	3	gamma2	0	1	0.94744
116	3	gamma5	0	1	0.85168
122	3	alpha4	0	1	1.0917
128	3	beta3	0	1	0.90746
134	3	gamma3	0	1	0.92388
140	3	alpha3	0	1	1.0041
144	3	beta2	0	1	0.97218
152	3	alpha2	0	1	0.83623
156	3	alpha1	0	1	1.2841
164	3	beta5	0	1	1.1161
172	3	gamma1	0	1	0.94825
176	3	gamma1	1	1	0.95611
180	3	alpha5	0	1	0.83656
186	3	beta4	0	1	1.1642
190	3	beta1	0	1	1.0048
196	3	alpha3	0	1	0.82085
200	3	gamma2	0	1	0.82867
204	3	alpha4	0	1	0.82843
208	3	alpha1	0	1	0.95677
214	3	gamma1	0	1	1.1648
220	3	gamma4	0	n/a	n/a
226	3	beta2	0	1	1.0289
230	3	beta3	0	1	0.95671
236	3	alpha2	0	1	1.0054
240	3	alpha2	1	1	0.86896
244	3	beta5	0	1	0.88538
250	3	gamma3	0	1	1.2371
254	3	gamma3	1	1	0.98945
260	3	beta1	0	1	0.66966
266	3	alpha5	0	1	1.2213
270	3	beta4	0	1	0.89341
278	3	gamma5	0	1	1.0856
286	3	beta3	0	1	1.078
292	3	alpha4	0	1	0.72551
298	3	gamma1	0	1	1.4142
304	3	gamma5	0	0	1.3739
310	3	gamma3	0	1	1.23
314	3	gamma4	0	1	0.87838
318	3	alpha3	0	1	1.2863
324	3	beta4	0	1	0.83856
330	3	alpha5	0	1	0.86255
334	3	beta2	0	1	0.83032
338	3	gamma2	0	1	0.79046
346	3	beta5	0	1	0.68671
350	3	alpha1	0	1	0.71877
356	3	alpha1	1	1	0.94276
360	3	beta1	0	1	1.3748
364	3	alpha2	0	1	1.0385
