onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma1	0	1	1.023
14	3	alpha1	0	1	1.2631
20	3	alpha1	1	1	1.6394
26	3	beta1	0	1	1.2871
30	3	beta5	0	1	1.8393
36	3	alpha4	0	1	1.0075
44	3	gamma5	0	1	1.3914
50	3	beta4	0	1	1.1763
56	3	beta2	0	1	1.4954
64	3	gamma4	0	1	1.255
68	3	alpha5	0	1	1.3588
74	3	alpha2	0	1	1.3833
82	3	beta3	0	1	0.95128
90	3	alpha3	0	1	0.91176
94	3	gamma2	0	1	1.0159
100	3	gamma3	0	1	0.70436
108	3	gamma4	0	1	0.95219
112	3	alpha1	0	1	1.7761
116	3	alpha4	0	1	1.0724
120	3	beta2	0	1	1.6397
126	3	gamma3	0	1	0.95989
132	3	beta3	0	1	0.93566
138	3	gamma1	0	1	1.3602
142	3	alpha2	0	1	1.328
146	3	gamma5	0	1	1.2962
154	3	alpha3	0	1	1.0482
160	3	gamma2	0	1	1.2082
168	3	beta1	0	1	1.0802
174	3	alpha5	0	1	1.1845
178	3	beta5	0	1	0.95259
182	3	beta4	0	1	1.0406
186	3	beta5	0	1	0.93636
194	3	gamma3	0	1	0.84056
200	3	beta1	0	1	1.5688
204	3	alpha3	0	1	0.88868
208	3	gamma4	0	1	0.85669
214	3	gamma1	0	1	1.0648
218	3	gamma1	1	1	1.4407
224	3	alpha2	0	1	1.0011
228	3	beta4	0	1	0.90488
234	3	beta4	1	1	0.89705
240	3	beta3	0	1	0.86506
248	3	gamma2	0	1	1.4091
252	3	gamma5	0	1	1.4572
258	3	alpha5	0	1	0.96916
264	3	beta2	0	1	1.3857
270	3	alpha1	0	1	1.363
274	3	alpha4	0	1	1.0498
282	3	beta2	0	1	1.2017
288	3	alpha2	0	1	0.90587
296	3	gamma2	0	1	0.91388
302	3	gamma4	0	1	1.5224
308	3	gamma4	1	1	1.0658
316	3	beta1	0	1	1.6584
320	3	gamma1	0	1	0.92243
324	3	beta5	0	1	0.98633
328	3	beta4	0	1	1.1382
332	3	beta3	0	1	0.97057
340	3	gamma3	0	1	0.92275
346	3	alpha4	0	1	1.1309
350	3	gamma5	0	1	1.0267
356	3	alpha3	0	1	1.0507
360	3	alpha5	0	1	1.0112
364	3	alpha1	0	1	1.2351
