onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	0.75436
16	3	gamma4	0	1	0.79492
20	3	beta1	0	1	0.85891
26	3	alpha3	0	1	0.79468
32	3	gamma5	0	1	0.85928
36	3	beta2	0	1	0.81127
44	3	beta4	0	1	1.187
50	3	alpha2	0	1	0.88277
54	3	alpha1	0	1	1.4995
62	3	gamma1	0	1	0.9076
68	3	alpha5	0	1	0.99577
74	3	alpha4	0	1	1.1797
78	3	gamma3	0	1	1.0759
84	3	beta5	0	1	0.84358
88	3	gamma2	0	1	0.94
92	3	alpha2	0	1	0.91601
96	3	alpha2	1	0	1.116
104	3	alpha1	0	1	1.0676
110	3	gamma2	0	1	1.4199
114	3	beta5	0	1	0.9722
122	3	beta1	0	1	0.90836
128	3	alpha5	0	1	1.0443
134	3	beta4	0	1	0.92455
138	3	beta3	0	1	1.1647
144	3	alpha3	0	1	0.94871
152	3	gamma5	0	1	0.90861
156	3	gamma1	0	1	1.3968
160	3	gamma1	1	1	0.97243
166	3	gamma3	0	1	1.2369
174	3	beta2	0	1	0.77253
180	3	gamma4	0	1	0.9328
184	3	alpha4	0	1	0.78127
190	3	gamma4	0	1	0.95256
196	3	alpha2	0	1	0.85344
202	3	beta3	0	1	1.0132
206	3	gamma3	0	1	1.2409
212	3	gamma1	0	1	1.0372
218	3	alpha3	0	1	0.8529
226	3	beta2	0	1	0.86139
230	3	alpha1	0	n/a	n/a
234	3	alpha1	1	n/a	n/a
240	3	beta1	0	1	0.43774
244	3	gamma5	0	1	0.80606
248	3	alpha5	0	1	0.8295
252	3	alpha5	1	1	0.94163
258	3	beta4	0	1	0.80616
262	3	alpha4	0	1	0.93385
266	3	gamma2	0	1	0.95774
274	3	beta5	0	1	1.1228
280	3	beta2	0	1	0.90744
288	3	gamma2	0	1	1.067
292	3	alpha2	0	1	0.80654
298	3	gamma4	0	1	0.86952
304	3	beta4	0	1	1.134
312	3	beta5	0	1	0.82224
320	3	gamma5	0	1	0.67035
326	3	alpha3	0	1	0.7499
334	3	gamma3	0	1	0.69416
342	3	alpha4	0	1	0.95126
346	3	beta3	0	1	1.0071
352	3	beta1	0	1	1.1502
356	3	alpha5	0	1	1.0075
364	3	alpha1	0	1	0.96744
368	3	gamma1	0	1	1.4926
