onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	1	1.0493
16	3	alpha2	1	1	1.1336
22	3	beta4	0	1	0.86517
26	3	beta5	0	1	1.0656
30	3	gamma2	0	1	0.92925
38	3	alpha1	0	1	0.73784
46	3	alpha4	0	1	0.62292
50	3	beta3	0	1	1.0783
54	3	alpha5	0	1	0.85801
62	3	gamma4	0	1	0.81458
66	3	gamma3	0	1	0.91388
74	3	gamma3	1	1	1.7184
80	3	alpha3	0	1	0.76729
84	3	gamma1	0	1	1.0183
88	3	beta1	0	1	0.75439
94	3	beta2	0	1	0.73493
102	3	gamma5	0	1	0.81518
110	3	alpha2	0	1	0.64706
116	3	beta3	0	1	0.71114
124	3	beta3	1	0	0.98332
130	3	beta2	0	1	0.68315
134	3	alpha3	0	1	0.62708
142	3	beta1	0	1	0.82332
146	3	gamma1	0	1	0.57101
150	3	beta4	0	1	0.53126
158	3	alpha4	0	1	0.59529
164	3	gamma4	0	1	0.59898
170	3	beta5	0	1	0.96686
174	3	alpha1	0	1	0.53951
178	3	gamma5	0	1	0.68356
184	3	gamma3	0	1	0.63912
192	3	alpha5	0	1	0.62325
200	3	gamma2	0	1	0.74297
206	3	beta3	0	1	0.86802
212	3	beta1	0	1	0.56417
218	3	beta4	0	1	0.89225
224	3	gamma3	0	1	0.6764
228	3	alpha3	0	1	0.61999
234	3	gamma2	0	1	0.66358
240	3	gamma5	0	1	0.62814
246	3	alpha4	0	1	0.84468
250	3	beta5	0	1	0.64445
254	3	alpha1	0	1	0.66876
260	3	alpha1	1	0	0.87625
266	3	gamma4	0	1	0.70058
272	3	alpha2	0	1	0.74851
276	3	beta2	0	1	0.63653
280	3	alpha5	0	1	0.73273
286	3	gamma1	0	1	0.64511
292	3	gamma5	0	1	2.037
300	3	gamma3	0	1	0.70103
304	3	beta2	0	1	0.84486
312	3	alpha4	0	1	0.66101
316	3	alpha1	0	0	0.94901
320	3	alpha3	0	1	0.78965
326	3	gamma1	0	1	0.84564
332	3	alpha2	0	1	1.1815
336	3	gamma4	0	1	0.85364
344	3	beta3	0	1	0.75356
348	3	beta1	0	1	0.67793
352	3	gamma2	0	1	0.93369
356	3	alpha5	0	1	0.62148
362	3	beta5	0	1	0.6055
366	3	beta4	0	1	0.98174
