onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	n/a	n/a
18	3	beta4	0	1	1.3284
22	3	alpha4	0	1	1.0257
26	3	alpha2	0	0	1.0098
32	3	beta3	0	1	0.94336
36	3	beta1	0	1	1.1136
40	3	alpha5	0	1	1.0257
48	3	gamma2	0	1	0.97574
54	3	gamma3	0	1	1.2317
58	3	alpha3	0	1	1.0738
64	3	gamma1	0	1	1.0241
68	3	gamma5	0	1	1.0978
74	3	beta5	0	1	0.87906
80	3	beta2	0	1	1.1115
86	3	alpha1	0	1	0.91207
92	3	beta5	0	1	1.3836
96	3	gamma1	0	1	1.6182
102	3	gamma1	1	1	1.0235
108	3	gamma2	0	1	1.0234
112	3	alpha5	0	1	1.2586
118	3	gamma4	0	1	1.3277
126	3	beta2	0	1	0.81522
130	3	alpha3	0	1	1.1832
138	3	alpha2	0	1	1.6396
142	3	gamma5	0	1	1.4913
148	3	gamma3	0	1	1.0168
152	3	alpha1	0	1	1.5835
156	3	alpha1	1	1	1.2512
162	3	alpha4	0	0	1.1314
166	3	beta3	0	1	1.4911
170	3	beta4	0	1	1.4193
174	3	beta1	0	1	1.0355
178	3	beta1	1	1	1.1877
184	3	alpha3	0	1	1.0156
192	3	gamma5	0	1	0.94787
200	3	beta2	0	1	0.92362
206	3	gamma2	0	1	0.88364
210	3	beta3	0	1	1.4117
216	3	alpha2	0	1	1.2201
224	3	alpha5	0	1	1.3481
228	3	beta1	0	1	1.0201
232	3	gamma4	0	1	1.1643
238	3	beta5	0	1	1.3403
244	3	alpha4	0	1	1.2053
250	3	alpha1	0	1	1.3723
256	3	beta4	0	1	1.5403
262	3	gamma3	0	1	1.2249
266	3	gamma1	0	0	1.5086
272	3	gamma2	0	1	2.4487
276	3	alpha2	0	1	1.3166
284	3	alpha4	0	1	1.2161
288	3	beta1	0	1	1.6051
294	3	beta1	1	0	1.7409
298	3	alpha5	0	1	1.1328
306	3	beta5	0	1	1.0132
310	3	gamma4	0	1	1.3414
316	3	beta4	0	1	0.9175
322	3	alpha1	0	1	0.88518
330	3	gamma1	0	1	1.1571
338	3	alpha3	0	1	1.0697
346	3	gamma5	0	1	1.5414
354	3	gamma3	0	1	1.3895
360	3	beta2	0	1	0.91804
368	3	beta3	0	1	1.0859
