onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha5	0	1	1.2634
16	3	beta5	0	1	1.1039
24	3	beta5	1	1	1.6079
30	3	alpha3	0	1	0.98375
36	3	gamma4	0	1	0.87107
40	3	alpha1	0	1	1.1429
44	3	beta2	0	1	1.1122
50	3	gamma5	0	1	0.99974
58	3	alpha4	0	1	1.0963
62	3	gamma3	0	1	0.97592
66	3	beta4	0	1	0.87959
74	3	beta1	0	1	1.144
82	3	gamma2	0	1	1.2637
86	3	gamma1	0	1	1.3035
92	3	beta3	0	1	1.1516
100	3	alpha2	0	1	0.82428
106	3	alpha2	1	0	1.2724
112	3	gamma5	0	1	1.1042
118	3	alpha5	0	1	1.3843
122	3	beta2	0	1	0.9284
128	3	gamma1	0	1	1.1602
132	3	beta5	0	1	1.4882
140	3	alpha3	0	1	0.80843
148	3	beta3	0	1	1.0164
152	3	gamma2	0	1	1.1685
160	3	alpha2	0	1	1.1045
164	3	beta4	0	1	1.0891
170	3	beta1	0	0	1.3051
176	3	alpha4	0	1	1.1852
182	3	gamma3	0	1	1.2493
186	3	alpha1	0	1	1.5853
190	3	gamma4	0	1	1.6649
198	3	alpha4	0	1	1.0729
206	3	beta2	0	1	1.169
210	3	gamma5	0	1	0.8974
216	3	alpha1	0	1	1.5051
220	3	gamma4	0	1	2.1698
226	3	gamma1	0	1	1.2336
230	3	gamma3	0	1	2.1058
234	3	alpha2	0	1	1.2255
240	3	beta3	0	1	1.4898
246	3	alpha3	0	1	1.2099
254	3	beta5	0	1	1.3622
258	3	gamma2	0	1	1.9623
262	3	beta4	0	1	1.6258
268	3	beta1	0	1	1.2499
272	3	alpha5	0	1	1.8261
276	3	alpha5	1	1	1.4024
280	3	beta4	0	1	1.45
284	3	beta3	0	1	1.2186
290	3	beta5	0	0	1.6744
294	3	gamma2	0	1	0.97053
300	3	alpha2	0	1	1.5386
304	3	alpha3	0	1	1.3705
308	3	alpha4	0	1	1.7465
314	3	gamma1	0	1	1.3945
320	3	gamma3	0	1	1.3231
328	3	alpha1	0	NaN	NaN
334	3	gamma4	0	1	1.5152
340	3	gamma5	0	0	1.7871
346	3	beta1	0	1	1.2029
350	3	beta2	0	0	1.4112
358	3	alpha5	0	1	1.155
366	3	alpha5	1	0	1.1634
