onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha5	0	1	1.1141
16	3	beta5	0	1	0.88175
24	3	beta5	1	0	1.058
30	3	alpha3	0	1	0.68212
36	3	gamma4	0	1	0.76982
40	3	alpha1	0	1	0.89029
44	3	beta2	0	1	0.72258
50	3	gamma5	0	1	1.5548
58	3	alpha4	0	1	0.98635
62	3	gamma3	0	1	1.1227
66	3	beta4	0	1	1.0184
74	3	beta1	0	1	0.97843
82	3	gamma2	0	1	1.3307
86	3	gamma1	0	1	1.0988
92	3	beta3	0	1	0.88317
100	3	alpha2	0	1	1.1792
106	3	alpha2	1	1	1.2509
112	3	gamma5	0	1	0.93136
118	3	alpha5	0	1	1.6835
122	3	beta2	0	1	1.1954
128	3	gamma1	0	1	0.88332
132	3	beta5	0	1	1.3156
140	3	alpha3	0	1	0.78755
148	3	beta3	0	1	0.93943
152	3	gamma2	0	1	0.9319
160	3	alpha2	0	1	0.89155
164	3	beta4	0	1	1.0521
170	3	beta1	0	1	1.148
176	3	alpha4	0	1	1.5479
182	3	gamma3	0	1	1.996
186	3	alpha1	0	1	2.316
190	3	gamma4	0	1	0.89248
198	3	alpha4	0	1	1.1245
206	3	beta2	0	1	1.0361
210	3	gamma5	0	1	1.5323
216	3	alpha1	0	1	1.6605
220	3	gamma4	0	1	2.901
226	3	gamma1	0	0	1.0211
230	3	gamma3	0	0	1.1727
234	3	alpha2	0	1	1.3886
240	3	beta3	0	1	1.0692
246	3	alpha3	0	1	1.1652
254	3	beta5	0	1	1.5488
258	3	gamma2	0	n/a	n/a
262	3	beta4	0	1	1.9969
268	3	beta1	0	1	0.82159
272	3	alpha5	0	1	0.81348
276	3	alpha5	1	1	1.3173
280	3	beta4	0	1	0.89316
284	3	beta3	0	1	1.2133
290	3	beta5	0	1	0.97333
294	3	gamma2	0	1	0.94186
300	3	alpha2	0	1	2.1174
304	3	alpha3	0	n/a	n/a
308	3	alpha4	0	1	1.2296
314	3	gamma1	0	1	2.1178
320	3	gamma3	0	1	1.6541
328	3	alpha1	0	1	0.9258
334	3	gamma4	0	1	1.406
340	3	gamma5	0	1	1.3583
346	3	beta1	0	1	2.6701
350	3	beta2	0	1	1.222
358	3	alpha5	0	1	0.72653
366	3	alpha5	1	n/a	n/a
