onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma2	0	1	0.70523
16	3	beta3	0	1	0.70592
24	3	beta2	0	1	0.58513
28	3	alpha4	0	1	0.71739
34	3	alpha4	1	1	1.0415
40	3	alpha1	0	1	1.1926
44	3	beta5	0	1	0.7738
50	3	alpha5	0	1	0.56187
58	3	beta1	0	1	0.8181
64	3	beta4	0	0	1.3529
68	3	gamma5	0	1	0.79822
72	3	alpha3	0	1	0.75782
78	3	gamma4	0	1	0.96987
84	3	alpha2	0	1	1.1223
88	3	gamma1	0	1	0.81443
96	3	gamma3	0	1	0.98229
100	3	gamma1	0	1	1.5743
106	3	beta3	0	1	0.91853
110	3	beta3	1	1	1.1746
116	3	gamma4	0	1	1.0388
122	3	alpha3	0	1	0.94254
126	3	alpha5	0	1	1.2306
130	3	gamma2	0	1	1.2226
136	3	alpha1	0	1	1.135
144	3	beta1	0	1	0.89509
148	3	beta5	0	1	1.1827
154	3	beta4	0	1	2.3433
160	3	beta2	0	1	1.0149
166	3	alpha2	0	1	0.86309
172	3	alpha4	0	1	1.3593
178	3	gamma5	0	1	1.375
184	3	gamma3	0	1	1.2236
192	3	gamma2	0	1	0.90369
196	3	alpha1	0	1	1.0236
200	3	beta3	0	1	0.85545
208	3	beta3	1	1	1.3995
212	3	gamma5	0	1	1.248
218	3	alpha4	0	1	0.87982
222	3	beta4	0	1	1.4317
228	3	alpha5	0	1	0.67185
234	3	gamma3	0	1	0.68012
242	3	beta1	0	1	2.344
250	3	alpha3	0	1	0.69644
256	3	beta5	0	1	1.0323
260	3	beta2	0	1	1.1362
268	3	alpha2	0	1	0.90423
276	3	gamma4	0	1	1.2007
280	3	gamma1	0	1	1.4409
286	3	gamma5	0	0	1.6165
294	3	beta3	0	1	1.0489
298	3	beta4	0	1	2.3285
302	3	alpha1	0	1	0.99314
306	3	gamma4	0	1	1.5607
310	3	gamma3	0	1	0.97724
314	3	beta2	0	1	0.82499
322	3	alpha4	0	1	1.4411
326	3	alpha4	1	1	1.0013
334	3	beta5	0	1	0.83263
340	3	alpha5	0	1	0.85651
348	3	alpha3	0	1	0.93718
352	3	gamma1	0	1	1.4572
358	3	beta1	0	1	0.69704
362	3	gamma2	0	1	0.60071
366	3	alpha2	0	1	1.0376
