onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha3	0	1	0.66489
18	3	alpha5	0	1	0.99275
24	3	alpha2	0	1	0.64916
28	3	beta2	0	1	0.76085
34	3	beta5	0	1	0.90532
38	3	beta5	1	1	1.1214
46	3	alpha4	0	1	0.88155
50	3	alpha4	1	1	0.83346
56	3	beta4	0	1	0.71322
62	3	gamma5	0	1	0.96148
68	3	beta1	0	1	1.1775
76	3	gamma3	0	1	0.77017
82	3	alpha1	0	1	0.73535
86	3	gamma2	0	1	0.76163
90	3	beta3	0	1	0.84981
96	3	gamma1	0	1	0.83855
104	3	gamma4	0	1	1.3119
110	3	alpha1	0	1	0.87903
116	3	gamma3	0	1	0.95948
122	3	alpha2	0	1	0.88761
130	3	gamma1	0	1	0.88244
134	3	beta1	0	1	0.81841
140	3	beta4	0	0	2.259
144	3	alpha5	0	1	0.85893
150	3	beta2	0	1	1.0827
158	3	alpha4	0	1	0.97567
162	3	gamma2	0	1	0.76295
170	3	gamma4	0	1	1.4911
174	3	beta5	0	1	1.6834
180	3	gamma5	0	1	0.91503
186	3	beta3	0	1	1.0113
192	3	alpha3	0	1	0.6915
198	3	gamma3	0	1	0.94715
202	3	beta3	0	1	0.89145
206	3	gamma2	0	1	0.83521
210	3	alpha3	0	1	1.4037
216	3	gamma5	0	1	1.0836
220	3	beta5	0	1	0.7556
224	3	alpha4	0	1	0.75536
228	3	beta4	0	1	0.80359
234	3	alpha2	0	1	0.86911
240	3	gamma1	0	1	1.0098
246	3	alpha1	0	1	0.88953
250	3	beta1	0	1	1.2762
254	3	gamma4	0	1	0.76407
262	3	alpha5	0	1	0.67466
268	3	beta2	0	1	0.78561
276	3	gamma2	0	1	1.3243
284	3	beta5	0	1	1.2106
288	3	gamma3	0	1	0.75649
296	3	gamma4	0	1	0.69139
300	3	beta1	0	1	1.2429
304	3	alpha1	0	1	0.88464
308	3	beta2	0	1	1.1889
314	3	gamma5	0	1	0.9713
320	3	alpha4	0	1	0.8932
324	3	alpha3	0	1	0.86902
330	3	gamma1	0	1	1.3572
336	3	alpha5	0	1	0.72594
340	3	beta3	0	1	0.85348
348	3	beta3	1	1	1.3175
352	3	alpha2	0	1	0.87739
360	3	alpha2	1	1	1.0777
368	3	beta4	0	1	1.2375
