onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha1	0	n/a	n/a
14	3	beta4	0	1	0.60395
20	3	beta3	0	1	0.57967
24	3	beta1	0	1	0.65107
28	3	alpha5	0	1	0.6278
32	3	gamma1	0	1	0.63614
40	3	beta2	0	1	0.66014
48	3	gamma4	0	1	0.61229
52	3	alpha3	0	1	0.62011
56	3	beta5	0	1	0.63656
64	3	alpha4	0	1	0.82858
68	3	alpha4	1	1	0.84252
74	3	gamma2	0	1	0.64451
80	3	gamma3	0	1	0.58085
84	3	alpha2	0	1	0.68476
90	3	gamma5	0	1	0.62867
96	3	alpha5	0	1	0.62052
100	3	beta2	0	1	0.66746
108	3	alpha1	0	1	0.67724
112	3	alpha2	0	1	0.62096
118	3	gamma1	0	1	0.67701
122	3	beta4	0	1	0.61033
126	3	alpha3	0	1	0.62888
130	3	gamma5	0	1	0.68499
136	3	alpha4	0	1	0.70132
144	3	gamma3	0	1	0.66928
150	3	beta5	0	1	0.66923
154	3	gamma2	0	1	0.62986
162	3	gamma4	0	1	0.60555
166	3	beta1	0	1	0.84546
170	3	beta3	0	1	0.54206
176	3	gamma3	0	1	0.52602
184	3	alpha1	0	1	0.59796
190	3	alpha1	1	1	0.76623
196	3	beta4	0	1	0.59812
200	3	beta2	0	1	0.63039
206	3	beta3	0	1	0.58217
212	3	gamma4	0	1	0.59829
218	3	alpha2	0	1	0.62229
224	3	gamma2	0	1	0.6385
230	3	beta1	0	1	0.65461
234	3	alpha5	0	1	0.7583
240	3	beta5	0	1	0.64695
248	3	gamma1	0	1	0.57524
256	3	alpha4	0	1	0.75886
264	3	gamma5	0	1	0.64671
270	3	alpha3	0	1	1.0233
276	3	beta3	0	1	0.56737
280	3	gamma3	0	1	0.83952
286	3	gamma3	1	1	1.1515
290	3	alpha1	0	1	0.63165
296	3	beta4	0	1	0.62352
300	3	beta2	0	1	0.6248
304	3	alpha2	0	1	0.65566
310	3	gamma4	0	1	0.7755
318	3	alpha4	0	1	0.65547
326	3	beta1	0	1	0.69143
330	3	beta5	0	1	0.70413
336	3	alpha5	0	1	0.63671
344	3	gamma1	0	1	0.70387
348	3	alpha3	0	1	0.60817
356	3	alpha3	1	1	0.81171
362	3	gamma5	0	1	0.61641
368	3	gamma2	0	1	0.60042
