onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	n/a	n/a
14	3	alpha5	0	1	0.70386
18	3	alpha3	0	1	0.96771
22	3	beta4	0	1	0.69553
28	3	beta3	0	1	0.60809
34	3	beta1	0	1	0.6798
38	3	alpha2	0	1	0.68728
44	3	gamma1	0	1	0.63992
48	3	gamma5	0	1	0.85609
56	3	beta5	0	1	0.94413
62	3	alpha1	0	1	0.74418
68	3	gamma2	0	1	0.6717
74	3	gamma4	0	1	0.81632
82	3	alpha4	0	1	0.67186
86	3	gamma3	0	1	0.71211
92	3	alpha4	0	1	0.73192
96	3	gamma2	0	1	0.61566
104	3	alpha3	0	1	0.59983
108	3	alpha5	0	1	0.65643
114	3	alpha2	0	1	0.78064
118	3	alpha1	0	1	0.72709
124	3	beta2	0	1	0.65292
132	3	beta3	0	1	0.59251
136	3	beta4	0	1	0.80038
142	3	beta5	0	1	0.57638
150	3	beta1	0	1	0.58473
154	3	gamma4	0	1	0.6409
158	3	gamma1	0	1	0.65674
162	3	gamma3	0	1	0.69693
168	3	gamma5	0	1	0.62495
174	3	gamma5	1	1	0.80918
182	3	alpha3	0	1	0.66527
188	3	alpha1	0	1	0.66554
192	3	gamma4	0	1	0.77706
198	3	beta4	0	1	0.59352
206	3	gamma3	0	1	0.76928
212	3	gamma5	0	1	0.53765
218	3	beta1	0	1	0.61753
222	3	beta2	0	1	0.78591
226	3	alpha4	0	1	0.84155
230	3	beta3	0	1	0.60182
238	3	gamma2	0	1	0.55385
244	3	alpha2	0	1	0.59378
248	3	beta5	0	1	0.77024
254	3	gamma1	0	1	0.64227
258	3	alpha5	0	1	0.6503
262	3	gamma5	0	1	0.90597
266	3	gamma5	1	1	0.90631
270	3	alpha4	0	1	0.73046
278	3	beta1	0	1	0.63415
282	3	alpha3	0	1	0.69837
286	3	gamma2	0	1	0.76281
294	3	beta4	0	1	0.61039
300	3	beta3	0	1	0.70643
308	3	gamma3	0	1	0.63456
316	3	beta2	0	1	0.57895
320	3	alpha5	0	1	0.58691
326	3	alpha2	0	1	0.59477
332	3	alpha2	1	1	0.7951
338	3	alpha1	0	1	0.63496
344	3	gamma4	0	1	0.72357
352	3	gamma4	1	1	0.85952
358	3	beta5	0	1	1.7553
364	3	gamma1	0	1	0.61122
