onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha4	0	n/a	n/a
18	3	beta2	0	1	0.8956
24	3	beta5	0	1	1.0882
28	3	alpha3	0	1	0.94789
34	3	beta1	0	1	1.7918
42	3	beta1	1	1	2.44
46	3	alpha5	0	1	1.0506
52	3	alpha1	0	1	1.0962
60	3	beta4	0	1	1.0961
66	3	alpha2	0	1	1.3445
72	3	beta3	0	1	1.3755
76	3	beta3	1	1	1.0026
80	3	gamma3	0	1	1.1949
84	3	gamma5	0	1	1.3067
88	3	gamma2	0	1	1.0351
94	3	gamma1	0	1	2.1993
100	3	gamma4	0	1	1.4317
106	3	alpha2	0	1	0.98434
112	3	beta3	0	1	1.7354
116	3	beta5	0	1	1.219
124	3	gamma5	0	1	0.90404
128	3	gamma1	0	1	0.94402
134	3	alpha4	0	1	1.0554
140	3	gamma4	0	1	1.4078
148	3	gamma3	0	1	0.84007
152	3	beta1	0	1	1.2324
160	3	alpha3	0	1	1.7205
166	3	alpha1	0	0	1.321
170	3	gamma2	0	1	1.3637
176	3	beta2	0	1	0.98484
182	3	beta4	0	1	1.9681
188	3	alpha5	0	1	1.256
192	3	gamma4	0	1	1.1557
200	3	alpha3	0	1	1.0398
206	3	gamma1	0	1	1.0244
214	3	gamma5	0	1	0.96082
222	3	beta5	0	1	1.6641
226	3	beta3	0	1	1.4201
232	3	gamma3	0	1	0.96824
236	3	gamma2	0	1	1.2199
244	3	beta1	0	1	1.2331
248	3	alpha4	0	1	1.1081
252	3	alpha1	0	1	1.284
256	3	beta4	0	1	1.5652
260	3	alpha2	0	1	1.4201
264	3	alpha5	0	1	1.6282
270	3	beta2	0	1	1.069
276	3	alpha3	0	1	1.0695
284	3	gamma4	0	1	0.99725
290	3	beta5	0	1	1.4934
294	3	beta3	0	1	1.6611
298	3	alpha5	0	1	1.2446
306	3	beta1	0	1	1.182
310	3	beta1	1	1	1.4054
314	3	gamma1	0	1	0.91393
322	3	beta2	0	1	1.1098
328	3	alpha4	0	1	0.96574
334	3	gamma2	0	1	1.2372
340	3	gamma5	0	1	1.0059
344	3	gamma5	1	1	1.0222
348	3	beta4	0	1	0.90213
356	3	gamma3	0	1	1.5663
360	3	alpha1	0	1	0.76606
366	3	alpha2	0	1	1.0465
