onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma3	0	1	1.0156
14	3	beta1	0	1	0.83956
22	3	gamma2	0	1	0.74419
28	3	alpha2	0	1	1.1042
36	3	alpha5	0	1	1.0322
42	3	alpha5	1	1	1.896
46	3	gamma1	0	1	0.776
54	3	alpha4	0	1	0.90407
60	3	alpha1	0	1	1.2564
68	3	gamma4	0	1	1.1045
72	3	beta2	0	1	0.96044
78	3	beta4	0	1	1.7525
82	3	alpha3	0	1	1.5523
88	3	beta3	0	1	1.2809
96	3	gamma5	0	1	0.90496
102	3	beta5	0	1	0.95278
108	3	alpha4	0	1	0.95323
116	3	alpha2	0	1	1.2092
122	3	gamma4	0	1	1.0489
126	3	beta4	0	1	1.2414
132	3	gamma5	0	1	1.0737
136	3	gamma1	0	1	1.4412
142	3	beta3	0	1	1.6973
148	3	beta5	0	1	1.5531
152	3	beta5	1	1	1.2898
156	3	beta1	0	1	1.2272
160	3	alpha3	0	1	1.322
166	3	alpha3	1	1	1.1136
170	3	alpha5	0	1	1.2496
178	3	gamma2	0	1	1.0817
186	3	alpha1	0	1	1.2499
192	3	beta2	0	1	0.90586
200	3	gamma3	0	1	1.1462
204	3	beta5	0	1	0.98619
210	3	gamma5	0	1	1.1941
216	3	alpha2	0	1	1.1145
224	3	alpha5	0	1	1.5548
228	3	gamma2	0	1	0.94646
234	3	beta1	0	1	1.6029
240	3	alpha3	0	1	0.7947
244	3	beta2	0	1	1.0029
250	3	alpha1	0	1	0.96253
258	3	gamma1	0	1	1.0667
262	3	beta4	0	1	1.731
268	3	alpha4	0	1	1.3069
272	3	gamma3	0	1	1.1553
278	3	gamma4	0	1	1.8434
282	3	beta3	0	1	1.0354
286	3	alpha4	0	1	0.8756
292	3	alpha1	0	1	0.8757
300	3	beta3	0	1	1.1715
306	3	gamma2	0	1	0.73172
314	3	alpha3	0	1	1.3559
318	3	beta4	0	1	1.4594
322	3	alpha2	0	1	0.94762
326	3	alpha2	1	1	1.0595
330	3	gamma1	0	1	1.2436
334	3	beta1	0	1	1.7637
342	3	gamma5	0	1	1.0599
348	3	beta2	0	1	0.96446
352	3	alpha5	0	1	1.0918
358	3	gamma3	0	1	1.0604
362	3	gamma4	0	1	1.2201
366	3	beta5	0	1	0.85256
