onset	duration	item	repeat	accuracy	reaction_time
10	3	beta1	0	1	0.9401
16	3	gamma3	0	1	0.68382
22	3	beta4	0	1	0.66025
26	3	alpha1	0	1	0.82801
34	3	alpha5	0	0	1.1642
40	3	beta3	0	1	0.92459
44	3	alpha3	0	1	0.79674
52	3	alpha4	0	1	1.3407
58	3	beta5	0	1	1.3648
62	3	alpha2	0	1	0.74891
70	3	gamma4	0	1	0.96478
74	3	gamma1	0	0	0.86856
82	3	gamma2	0	0	1.1326
90	3	gamma5	0	0	1.397
94	3	beta2	0	1	1.2931
102	3	alpha2	0	1	1.3333
108	3	alpha3	0	1	1.1812
112	3	alpha5	0	1	0.83754
120	3	gamma4	0	1	0.73356
124	3	beta4	0	1	1.4215
132	3	alpha4	0	1	1.6696
140	3	beta2	0	1	0.78184
144	3	beta3	0	1	0.86972
148	3	beta5	0	1	2.454
152	3	gamma1	0	1	0.63754
158	3	gamma5	0	1	0.82975
164	3	alpha1	0	1	0.64605
170	3	beta1	0	1	1.4462
174	3	gamma3	0	1	1.0058
180	3	gamma2	0	1	0.63
184	3	alpha4	0	1	2.0541
188	3	beta1	0	1	0.54233
192	3	beta4	0	1	1.5824
198	3	alpha2	0	1	0.78218
202	3	beta2	0	1	2.7986
208	3	alpha1	0	1	0.49447
214	3	gamma1	0	1	0.59031
218	3	alpha3	0	1	0.93442
222	3	gamma2	0	1	1.103
228	3	beta5	0	1	0.97497
236	3	beta3	0	1	0.62264
242	3	gamma5	0	1	0.51898
250	3	alpha5	0	1	0.66297
254	3	gamma3	0	1	2.8072
262	3	gamma4	0	1	0.78299
268	3	gamma5	0	0	1.2634
272	3	beta4	0	1	1.1433
278	3	alpha5	0	1	1.2953
282	3	alpha2	0	1	0.87159
288	3	alpha2	1	0	0.64758
294	3	beta1	0	1	0.76764
300	3	beta1	1	0	0.66339
304	3	beta3	0	0	0.84913
312	3	alpha4	0	1	0.66366
318	3	alpha4	1	0	1.1839
322	3	beta5	0	1	1.752
328	3	alpha3	0	1	0.68809
332	3	gamma3	0	1	0.5199
336	3	gamma3	1	n/a	n/a
344	3	alpha1	0	1	0.83204
350	3	gamma2	0	1	1.2243
356	3	gamma4	0	1	0.55952
362	3	gamma1	0	1	1.4958
366	3	beta2	0	n/a	n/a
