onset	duration	item	repeat	accuracy	reaction_time
10	3	beta3	0	1	0.78104
16	3	gamma4	0	1	1.0612
20	3	beta1	0	1	0.62906
26	3	alpha3	0	1	1.0369
32	3	gamma5	0	1	0.81359
36	3	beta2	0	1	1.1731
44	3	beta4	0	1	0.88513
50	3	alpha2	0	1	0.67764
54	3	alpha1	0	1	1.5975
62	3	gamma1	0	1	0.88579
68	3	alpha5	0	1	0.87747
74	3	alpha4	0	1	1.5661
78	3	gamma3	0	1	0.99816
84	3	beta5	0	1	0.83821
88	3	gamma2	0	1	1.1817
92	3	alpha2	0	1	0.79023
96	3	alpha2	1	1	1.3579
104	3	alpha1	0	1	1.1184
110	3	gamma2	0	1	0.95039
114	3	beta5	0	1	0.83025
122	3	beta1	0	1	1.1182
128	3	alpha5	0	1	1.0384
134	3	beta4	0	1	1.1902
138	3	beta3	0	1	1.2869
144	3	alpha3	0	1	0.99902
152	3	gamma5	0	1	0.91879
156	3	gamma1	0	1	1.2946
160	3	gamma1	1	1	0.98283
166	3	gamma3	0	1	1.3855
174	3	beta2	0	1	1.0069
180	3	gamma4	0	1	0.87125
184	3	alpha4	0	1	0.91922
190	3	gamma4	0	1	0.82317
196	3	alpha2	0	1	0.93547
202	3	beta3	0	1	0.68907
206	3	gamma3	0	1	0.84773
212	3	gamma1	0	1	1.327
218	3	alpha3	0	1	1.1348
226	3	beta2	0	1	0.76779
230	3	alpha1	0	1	1.024
234	3	alpha1	1	1	1.0479
240	3	beta1	0	1	1.2072
244	3	gamma5	0	1	1.0558
248	3	alpha5	0	1	0.89606
252	3	alpha5	1	1	1.0002
258	3	beta4	0	1	0.82301
262	3	alpha4	0	1	0.8321
266	3	gamma2	0	1	0.75251
274	3	beta5	0	1	0.83889
280	3	beta2	0	1	0.99097
288	3	gamma2	0	1	0.71965
292	3	alpha2	0	1	0.84877
298	3	gamma4	0	1	0.93581
304	3	beta4	0	1	0.89682
312	3	beta5	0	1	0.91071
320	3	gamma5	0	1	0.5519
326	3	alpha3	0	1	0.76885
334	3	gamma3	0	1	0.74347
342	3	alpha4	0	1	0.81567
346	3	beta3	0	1	0.97757
352	3	beta1	0	1	1.2016
356	3	alpha5	0	1	0.85734
364	3	alpha1	0	1	1.2874
368	3	gamma1	0	1	1.1057
