onset	duration	item	repeat	accuracy	reaction_time
10	3	beta5	0	n/a	n/a
16	3	gamma4	0	1	1.0317
24	3	gamma2	0	1	0.93597
32	3	alpha1	0	1	1.0718
36	3	alpha4	0	1	2.2079
40	3	alpha3	0	1	1.4958
48	3	alpha2	0	1	1.216
52	3	gamma3	0	1	1.3283
56	3	gamma5	0	1	1.136
62	3	alpha5	0	1	1.3365
68	3	beta4	0	1	1.2563
72	3	beta3	0	1	0.96951
76	3	beta1	0	1	1.3688
82	3	beta1	1	1	1.5606
86	3	beta2	0	1	1.0888
90	3	gamma1	0	1	1.353
96	3	gamma2	0	1	0.96091
102	3	alpha5	0	1	1.0167
110	3	gamma5	0	1	0.96121
118	3	gamma5	1	1	1.2485
124	3	gamma3	0	1	1.2971
132	3	beta5	0	1	0.99236
140	3	gamma4	0	1	1.3212
146	3	alpha1	0	1	1.0562
150	3	beta3	0	1	1.1215
154	3	alpha4	0	1	1.0496
160	3	beta1	0	1	1.1364
164	3	gamma1	0	1	0.96178
172	3	beta2	0	1	0.96888
176	3	beta4	0	1	1.1738
182	3	alpha2	0	1	0.9285
186	3	alpha3	0	1	0.93413
190	3	alpha3	1	1	1.0498
196	3	gamma2	0	1	0.96128
200	3	gamma1	0	1	1.1343
204	3	alpha3	0	1	1.2505
210	3	gamma3	0	1	0.99334
216	3	alpha4	0	1	1.1764
220	3	beta2	0	1	0.89867
226	3	beta1	0	1	1.4396
230	3	gamma5	0	1	0.85828
236	3	beta4	0	1	0.94343
244	3	alpha2	0	1	0.91977
250	3	alpha1	0	1	1.0794
256	3	beta3	0	1	0.86371
264	3	beta3	1	1	0.96774
268	3	alpha5	0	1	1.1708
274	3	gamma4	0	1	0.98385
280	3	beta5	0	1	1.2475
288	3	alpha4	0	1	1.3195
292	3	alpha1	0	1	1.3796
298	3	beta2	0	1	1.0564
306	3	gamma1	0	1	0.97935
312	3	gamma2	0	1	1.1879
318	3	gamma3	0	1	0.87596
326	3	gamma4	0	1	0.90005
332	3	alpha5	0	1	0.90779
336	3	beta4	0	1	0.94023
340	3	beta3	0	1	0.77201
346	3	alpha2	0	1	0.88382
354	3	alpha3	0	1	1.7322
358	3	beta1	0	1	1.1321
362	3	beta5	0	1	1.3805
366	3	gamma5	0	1	0.7802
