onset	duration	item	repeat	accuracy	reaction_time
10	3	gamma4	0	0	1.1413
14	3	gamma1	0	0	1.549
18	3	gamma5	0	1	1.4772
26	3	alpha2	0	1	0.69317
30	3	alpha5	0	1	0.74149
36	3	gamma3	0	1	0.79734
44	3	beta2	0	1	0.71768
50	3	beta5	0	1	0.76568
58	3	alpha4	0	1	0.62176
62	3	alpha3	0	0	1.0617
66	3	beta4	0	1	0.74202
70	3	alpha1	0	1	0.62173
76	3	gamma2	0	1	0.69426
80	3	beta1	0	1	0.77434
84	3	beta3	0	1	1.0138
90	3	alpha2	0	1	0.74241
96	3	gamma3	0	1	0.73981
102	3	alpha5	0	1	0.67809
106	3	gamma5	0	1	0.72623
114	3	alpha4	0	1	0.5342
118	3	alpha3	0	1	1.1264
124	3	beta2	0	1	0.76673
128	3	beta1	0	1	0.57464
134	3	beta3	0	1	1.2502
142	3	gamma4	0	1	0.65468
148	3	beta4	0	1	0.60327
154	3	alpha1	0	1	0.49888
158	3	beta5	0	1	0.52691
164	3	gamma2	0	1	0.50642
172	3	gamma1	0	1	0.59657
176	3	alpha4	0	1	0.66355
182	3	alpha1	0	1	1.0354
188	3	gamma3	0	1	0.62375
196	3	beta5	0	1	0.67551
202	3	beta3	0	1	0.92763
206	3	alpha2	0	1	0.77585
214	3	beta1	0	1	0.75144
218	3	beta1	1	1	0.85271
222	3	beta2	0	1	1.3437
228	3	beta4	0	1	0.64792
232	3	gamma4	0	1	0.67183
238	3	gamma2	0	1	0.61243
242	3	gamma5	0	1	1.0561
246	3	gamma1	0	1	0.92778
250	3	alpha3	0	1	0.60012
254	3	alpha5	0	1	0.73636
260	3	alpha4	0	1	1.3918
266	3	alpha4	1	1	0.92833
272	3	beta3	0	1	0.60011
276	3	alpha2	0	1	0.7682
284	3	beta4	0	1	0.66459
292	3	alpha3	0	1	0.64769
298	3	beta5	0	1	0.72056
306	3	gamma2	0	1	0.63272
314	3	gamma2	1	1	1.0243
320	3	alpha5	0	1	0.63255
326	3	gamma3	0	1	0.67252
332	3	gamma1	0	1	1.2242
338	3	gamma1	1	0	1.256
342	3	alpha1	0	1	0.87361
348	3	beta2	0	1	0.6159
352	3	beta1	0	1	0.7919
360	3	gamma4	0	1	0.70407
368	3	gamma5	0	0	1.2008
