onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	1	0.77481
18	3	beta5	0	1	0.78295
24	3	alpha3	0	1	0.71106
28	3	beta4	0	1	0.69527
32	3	beta2	0	1	0.83107
38	3	gamma4	0	1	0.76697
46	3	gamma2	0	1	0.71136
52	3	gamma5	0	1	0.88745
58	3	alpha5	0	1	0.88756
62	3	alpha5	1	1	0.79154
66	3	gamma3	0	1	1.0559
72	3	alpha1	0	1	0.64777
78	3	beta3	0	1	0.68
86	3	gamma1	0	1	0.74371
90	3	beta1	0	1	0.71195
94	3	alpha4	0	1	0.69635
100	3	alpha4	1	1	1.5443
108	3	alpha3	0	1	0.79253
116	3	gamma4	0	1	0.67194
120	3	gamma3	0	1	0.99268
128	3	alpha1	0	1	0.91273
132	3	beta2	0	1	0.69612
138	3	alpha5	0	1	0.55247
144	3	alpha5	1	1	1.5769
150	3	gamma5	0	1	0.63297
158	3	alpha2	0	1	0.72058
164	3	beta5	0	1	0.72883
170	3	beta4	0	1	0.88094
178	3	gamma2	0	1	0.56075
182	3	beta3	0	1	0.78504
186	3	beta1	0	1	0.78553
192	3	gamma1	0	1	0.64919
198	3	alpha4	0	1	0.62834
206	3	beta2	0	1	0.89655
212	3	gamma3	0	1	0.7252
216	3	alpha2	0	1	0.96872
220	3	beta3	0	1	0.77678
226	3	gamma1	0	1	0.95273
234	3	gamma2	0	1	1.2141
238	3	gamma4	0	1	0.80128
242	3	beta5	0	1	0.9453
250	3	gamma5	0	1	0.71349
254	3	alpha4	0	1	0.66558
258	3	beta4	0	1	0.56966
262	3	alpha1	0	1	0.64975
266	3	alpha5	0	0	1.3378
272	3	alpha3	0	1	1.008
278	3	beta1	0	1	0.99061
284	3	alpha5	0	1	0.66556
292	3	gamma2	0	1	0.76973
296	3	beta2	0	1	0.9297
302	3	beta2	1	1	1.1504
306	3	gamma5	0	1	0.60228
312	3	alpha1	0	1	0.87295
320	3	beta1	0	1	0.69061
324	3	alpha2	0	1	0.75413
328	3	beta5	0	1	0.6664
332	3	beta4	0	1	0.9224
340	3	gamma3	0	1	0.66668
344	3	gamma1	0	1	0.86651
350	3	alpha4	0	1	1.0799
354	3	gamma4	0	1	0.72289
360	3	alpha3	0	1	0.80283
366	3	beta3	0	1	0.71261
