onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	n/a	n/a
14	3	gamma2	0	1	0.98224
18	3	beta2	0	1	0.75838
24	3	gamma3	0	1	0.67633
30	3	beta1	0	1	0.72628
34	3	gamma4	0	1	0.62226
40	3	alpha4	0	1	0.69468
44	3	beta3	0	1	0.79839
52	3	alpha3	0	1	0.67841
60	3	alpha2	0	1	0.63464
66	3	alpha5	0	1	0.49445
70	3	beta5	0	1	0.76647
76	3	gamma1	0	1	0.79082
82	3	gamma5	0	1	0.74283
88	3	alpha1	0	1	0.55922
94	3	gamma1	0	1	0.53527
98	3	alpha2	0	1	0.72768
104	3	alpha2	1	0	0.7269
110	3	beta5	0	1	0.5836
118	3	alpha5	0	1	0.6471
122	3	alpha3	0	1	0.65895
130	3	alpha4	0	1	0.79116
134	3	beta4	0	1	0.87559
138	3	gamma5	0	1	0.5635
146	3	gamma5	1	0	1.1588
150	3	beta1	0	1	0.60806
156	3	gamma4	0	1	0.68756
162	3	gamma3	0	1	0.49532
168	3	beta2	0	1	0.70344
176	3	alpha1	0	1	0.7835
180	3	beta3	0	1	1.0881
186	3	gamma2	0	1	0.68708
192	3	beta4	0	1	0.58262
196	3	gamma3	0	1	0.78252
200	3	gamma1	0	0	1.0717
208	3	gamma1	1	1	1.0626
216	3	alpha5	0	1	0.71089
222	3	beta1	0	1	0.60705
226	3	beta2	0	1	1.119
232	3	beta5	0	1	0.79926
236	3	alpha3	0	1	0.83987
240	3	alpha1	0	1	0.89559
246	3	gamma4	0	1	0.67146
254	3	gamma2	0	1	0.6149
258	3	alpha2	0	1	0.57494
262	3	gamma5	0	1	0.72015
270	3	beta3	0	1	0.71111
274	3	alpha4	0	1	0.79147
282	3	alpha2	0	1	0.77554
286	3	alpha4	0	1	0.7756
292	3	alpha1	0	1	0.42389
298	3	gamma4	0	1	0.68825
302	3	alpha3	0	1	0.66539
310	3	beta5	0	1	1.0481
318	3	gamma2	0	1	0.52723
326	3	beta3	0	1	1.0555
332	3	gamma5	0	1	0.83986
338	3	gamma5	1	0	0.75947
344	3	beta4	0	1	0.86369
350	3	gamma1	0	1	0.64749
354	3	beta1	0	1	0.63426
358	3	beta2	0	1	0.9192
364	3	gamma3	0	1	0.56751
368	3	alpha5	0	1	0.91487
