onset	duration	item	repeat	accuracy	reaction_time
10	3	beta4	0	1	1.222
16	3	beta3	0	1	1.1976
20	3	alpha2	0	1	0.85379
24	3	alpha4	0	1	0.91817
28	3	gamma5	0	1	0.71773
34	3	alpha5	0	1	0.72573
38	3	beta2	0	1	0.64594
44	3	alpha3	0	1	0.8545
48	3	beta5	0	1	0.68624
52	3	beta1	0	1	0.83009
58	3	gamma3	0	1	0.71062
62	3	gamma3	1	0	0.63015
66	3	alpha1	0	1	1.0388
74	3	gamma1	0	1	0.7904
82	3	gamma2	0	1	0.79899
90	3	gamma2	1	0	1.0231
96	3	gamma4	0	1	1.1749
100	3	beta4	0	1	0.9186
108	3	gamma5	0	1	0.75103
114	3	gamma3	0	0	1.3994
118	3	beta2	0	1	0.77511
126	3	beta5	0	1	0.70347
134	3	alpha4	0	1	0.71107
138	3	alpha2	0	1	0.97538
146	3	gamma2	0	1	0.67131
154	3	beta1	0	1	0.6797
160	3	beta3	0	1	0.63979
166	3	alpha3	0	1	0.63176
170	3	gamma4	0	1	0.75209
174	3	alpha1	0	1	0.78397
180	3	alpha5	0	1	0.92021
184	3	gamma1	0	1	0.72774
190	3	alpha2	0	1	1.1039
196	3	alpha3	0	1	0.93526
202	3	beta1	0	1	0.91234
208	3	gamma5	0	1	0.68862
214	3	alpha5	0	1	0.69513
222	3	gamma2	0	1	0.63849
230	3	alpha4	0	1	0.60081
234	3	gamma3	0	1	0.68093
238	3	beta5	0	1	1.0244
242	3	gamma4	0	1	1.0486
248	3	gamma1	0	1	1.0642
254	3	beta3	0	1	1.0969
262	3	beta3	1	1	1.0636
268	3	beta2	0	1	0.77666
276	3	beta4	0	1	1.0971
280	3	alpha1	0	1	0.76945
286	3	alpha4	0	1	0.78522
290	3	alpha4	1	1	0.95361
296	3	alpha2	0	1	0.68942
300	3	alpha3	0	1	1.073
306	3	gamma3	0	1	0.76765
310	3	beta5	0	1	0.8097
316	3	gamma2	0	1	0.69787
320	3	beta4	0	1	0.72176
326	3	beta2	0	1	0.69512
332	3	gamma5	0	1	0.67153
336	3	gamma4	0	1	0.67371
342	3	beta1	0	1	0.72698
346	3	gamma1	0	1	0.65792
354	3	alpha1	0	1	1.0344
360	3	alpha5	0	0	1.0067
368	3	beta3	0	1	0.84204
