onset	duration	item	repeat	accuracy	reaction_time
10	3	beta2	0	1	1.4516
14	3	alpha2	0	1	1.4358
18	3	beta5	0	1	1.0436
26	3	beta1	0	1	1.0601
34	3	beta4	0	1	1.3719
42	3	beta3	0	1	0.87621
46	3	gamma4	0	1	0.77196
52	3	gamma3	0	1	1.0364
60	3	gamma2	0	1	0.7161
64	3	alpha5	0	1	0.78816
68	3	alpha1	0	0	0.93276
74	3	alpha4	0	1	0.67649
80	3	gamma5	0	1	0.68475
88	3	gamma1	0	1	1.0047
92	3	alpha3	0	1	0.72484
98	3	beta4	0	1	0.69289
102	3	alpha1	0	1	0.61278
108	3	alpha2	0	0	1.1889
112	3	gamma2	0	1	0.6053
120	3	alpha5	0	1	0.61336
126	3	alpha3	0	1	0.74912
130	3	beta3	0	1	0.7009
136	3	gamma1	0	1	0.58131
140	3	beta2	0	1	0.62916
144	3	beta5	0	1	0.7736
150	3	gamma3	0	1	0.62171
158	3	alpha4	0	1	0.72542
162	3	gamma5	0	1	0.67764
166	3	gamma4	0	1	0.97372
170	3	beta1	0	1	0.55743
176	3	beta1	1	0	0.5899
180	3	beta4	0	0	1.334
186	3	gamma1	0	1	0.66974
192	3	beta1	0	1	0.78224
198	3	beta3	0	1	0.78998
204	3	beta2	0	1	0.63052
210	3	beta2	1	0	0.6223
218	3	gamma5	0	1	1.2143
224	3	alpha2	0	1	0.79063
230	3	alpha5	0	1	0.74274
234	3	alpha1	0	0	0.8467
238	3	alpha4	0	1	0.69438
244	3	beta5	0	1	0.70245
248	3	gamma3	0	1	0.79051
256	3	gamma2	0	1	0.76684
262	3	gamma2	1	0	0.81463
270	3	alpha3	0	1	0.7033
278	3	gamma4	0	1	0.7112
286	3	gamma3	0	1	0.67096
292	3	beta5	0	1	0.71968
298	3	gamma5	0	1	0.84742
304	3	beta1	0	1	0.71145
308	3	alpha3	0	1	0.77543
312	3	alpha4	0	1	0.77557
318	3	gamma2	0	1	0.68754
326	3	beta3	0	1	0.62402
334	3	alpha5	0	1	0.67979
338	3	gamma4	0	1	0.70379
342	3	alpha2	0	1	0.66394
348	3	alpha1	0	1	1.2638
354	3	gamma1	0	1	0.976
358	3	beta4	0	1	0.89569
362	3	beta4	1	1	0.99223
366	3	beta2	0	1	0.77746
