onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha4	0	1	1.0959
18	3	alpha5	0	1	0.96022
26	3	gamma4	0	1	0.71933
30	3	alpha1	0	1	0.87401
36	3	gamma2	0	1	0.61537
44	3	beta3	0	1	0.66376
48	3	beta5	0	1	0.68217
56	3	gamma5	0	1	0.608
62	3	alpha2	0	1	0.66599
68	3	alpha3	0	1	0.57535
72	3	gamma1	0	1	0.61019
80	3	beta4	0	1	0.5433
86	3	beta2	0	1	0.6906
94	3	beta1	0	1	1.1034
102	3	gamma3	0	1	0.89047
110	3	gamma1	0	0	1.1788
116	3	gamma4	0	0	0.85048
120	3	beta3	0	1	0.87495
126	3	alpha4	0	1	0.65059
132	3	beta4	0	1	0.64297
140	3	gamma5	0	1	0.69104
144	3	gamma3	0	1	0.65899
148	3	beta1	0	1	0.85939
152	3	alpha2	0	1	0.83505
156	3	alpha1	0	1	0.7954
162	3	alpha5	0	0	1.2513
168	3	beta5	0	1	0.73134
172	3	alpha3	0	1	0.5792
178	3	gamma2	0	1	0.66775
182	3	beta2	0	1	0.67551
188	3	beta3	0	1	0.81177
194	3	alpha3	0	1	0.71406
202	3	gamma4	0	1	0.69779
206	3	beta2	0	1	0.71374
210	3	alpha2	0	1	0.65211
216	3	alpha4	0	1	0.54527
222	3	gamma5	0	1	0.71362
230	3	alpha5	0	1	0.60042
234	3	beta5	0	1	0.92916
240	3	gamma1	0	1	0.74378
244	3	beta1	0	1	0.68996
250	3	alpha1	0	1	0.59139
258	3	beta4	0	1	0.61648
262	3	gamma3	0	1	0.73604
268	3	gamma2	0	1	0.79242
272	3	gamma2	1	1	0.98394
278	3	alpha3	0	1	0.41625
286	3	alpha3	1	0	0.55678
290	3	alpha5	0	1	0.85261
294	3	alpha5	1	1	0.75684
298	3	alpha4	0	1	0.7489
302	3	beta1	0	1	0.82886
310	3	beta3	0	0	1.117
316	3	gamma2	0	1	0.62204
322	3	beta4	0	1	0.67712
326	3	beta2	0	1	0.63716
332	3	gamma4	0	1	0.60561
336	3	alpha1	0	1	0.62179
340	3	alpha1	1	0	0.8936
346	3	gamma3	0	1	0.65388
352	3	gamma5	0	1	0.70942
358	3	beta5	0	1	0.6777
362	3	alpha2	0	1	0.62205
368	3	gamma1	0	1	0.59771
