onset	duration	item	repeat	accuracy	reaction_time
10	3	alpha2	0	1	0.6694
16	3	alpha5	0	1	0.94162
22	3	alpha4	0	1	0.92578
30	3	beta5	0	1	0.69932
36	3	gamma5	0	1	0.66891
40	3	beta4	0	1	0.61411
46	3	beta3	0	1	0.59731
50	3	gamma3	0	1	0.57401
54	3	beta1	0	1	0.60626
60	3	alpha3	0	1	0.53334
64	3	gamma2	0	1	0.60608
72	3	gamma1	0	1	0.56603
78	3	beta2	0	1	0.58173
82	3	gamma4	0	1	0.59869
88	3	alpha1	0	1	0.78964
94	3	gamma3	0	1	0.59818
100	3	alpha4	0	1	1.1949
106	3	gamma2	0	1	0.53171
114	3	alpha1	0	1	0.54643
120	3	alpha5	0	1	0.63131
124	3	beta5	0	1	0.95108
128	3	beta5	1	1	1.2068
134	3	beta1	0	1	0.86761
140	3	gamma4	0	1	1.3994
148	3	beta3	0	1	0.65562
154	3	alpha2	0	1	0.75933
158	3	gamma1	0	1	0.62322
166	3	gamma1	1	0	0.62325
172	3	gamma5	0	0	0.91926
178	3	beta4	0	1	0.62329
186	3	beta2	0	1	0.72803
190	3	alpha3	0	1	0.66378
194	3	gamma5	0	1	0.71202
202	3	alpha3	0	1	0.59172
208	3	gamma4	0	1	0.60738
212	3	alpha4	0	1	0.63191
218	3	alpha1	0	1	0.67129
222	3	alpha5	0	0	0.87237
230	3	beta2	0	1	0.70378
234	3	beta3	0	1	0.6888
240	3	gamma3	0	1	0.64791
246	3	alpha2	0	1	0.58437
250	3	gamma2	0	1	0.5609
254	3	gamma1	0	1	0.96873
260	3	gamma1	1	0	0.94502
264	3	beta1	0	1	0.62489
268	3	beta4	0	0	1.3132
274	3	beta5	0	1	1.0168
278	3	alpha3	0	1	0.68846
282	3	gamma3	0	1	0.68829
290	3	gamma5	0	1	0.96941
298	3	beta5	0	1	0.89721
304	3	alpha2	0	1	0.74544
312	3	alpha5	0	1	0.76103
316	3	gamma2	0	1	0.88886
320	3	alpha1	0	1	0.84907
324	3	beta4	0	1	0.68893
328	3	beta2	0	1	0.67274
332	3	alpha4	0	1	0.64897
340	3	beta1	0	1	1.1534
348	3	gamma1	0	1	1.0734
354	3	gamma1	1	0	1.0575
358	3	gamma4	0	1	0.96915
366	3	beta3	0	1	0.7538
